,number,sentences
3895,,"ಎರಡನೇಯ ಸಲ ನಾನು ತೆರಳಿದ್ದು ಮರಳಿದ್ದು ವಿಮಾನದ ಮೂಲಕವಾಗಿ , ಯುರೋಪಿನ ಹಾದಿಯಾಗಿ ."
3896,,ಮುಂದಿನ ಪುಟಗಳಲ್ಲಿ ಕುಬೇರ ರಾಜ್ಯದ ಚಿತ್ರವಿಚಿತ್ರಗಳನ್ನು ನನ್ನದೇ ಆದ ರೀತಿಯಲ್ಲಿ ಹಿಡಿದಿಡಲು ಯತ್ನಿಸಿದ್ದೇನೆ .
3897,,ಅಮೇರಿಕದ್ದು ಆಗಲೀ ಬೇರೆ ಯಾವ ದೇಶದ್ದು ಆಗಲೀ ಇತಿಹಾಸ ಭೂಗೋಳ ಇಲ್ಲಿ ಇಲ್ಲ .
3898,,ಆ ದೇಶದ ಅಥವಾ ಬೇರೆ ಯಾವ ದೇಶದ ಅಂಕೆ - ಸಂಖ್ಯೆಗಳ ಕೋಷ್ಟಕವೂ ಇಲ್ಲಿ ಇಲ್ಲ .
3899,sg,"ಹೊಸ ಜಗತ್ತಿನ ಹೂಬಿಸಿಲಲ್ಲಿ ಹಳೆಯ ಜಗತ್ತಿನಿಂದ ಹೋದ ತೆರೆದ ಎದೆಯ ಆಗಂತುಕನಿಗೆ ಅನಿಸಿದ ಭಾವನೆಗಳ , ಮೂಡಿದ ಅನುಭವಗಳ ಸಂಕಲನ ಇಲ್ಲಿ ಇದೆ ."
3900,sg,"ತೋರಿದ ಅನುಭವಗಳಿಗೆ , ಮೂಡಿದ ಭಾವನೆಗಳಿಗೆ ಮಾತಿನ , ಭಾಷೆಯ ವೇಷ ತೊಡಿಸುವ ಸಾಹಸ ಇಲ್ಲಿ ಇದೆ !"
3901,sg,"ವೇಗದ - ಆವೇಗದ ನಾಡು ಮದ್ರಾಸಿನಿಂದ ದಿಲ್ಲಿಗೆ ಹೊರಟ ಗ್ರೇಂಡಟ್ರಂಕ್ ಎಕ್ಸಪ್ರೆಸ್ ಗಾಡಿ ದಿಲ್ಲಿಯನ್ನು ಮುಟ್ಟುವ ಮೊದಲೇ ಮದ್ರಾಸಿನಿಂದ ಅಂದೇ ಅಂತರಿಕ್ಷದ ಮಾರ್ಗವಾಗಿ ಹೊರಟ ನಾನು ಹತ್ತುಸಾವಿರ ಮೈಲುಗಳ ದೂರದಲ್ಲಿ ಇರುವ ' ಆ ' ಎಂದು ಆಕಳಿಸುತ್ತ , ಹಾಯಾಗಿ ಹರಡಿದ ಪ್ಯಾಸಿಫಿಕ್ ಮಹಾಸಾಗರದ ಆಚೆಗಿನ ಅಮೆರಿಕದ ಪಶ್ಚಿಮ ಕರಾವಳಿಯಲ್ಲಿ ಇರುವ ಸಾನಫ್ರಾನ್ಸಿಸ್ಕೋ ಮಹಾನಗರವನ್ನು ಮುಟ್ಟಿದೆ ."
3902,,"ಕಲ್ಕತ್ತದಲ್ಲಿ ರಾತ್ರಿಯ ಊಟ , ಸಿಂಗಾಪುರದಲ್ಲಿ ಬೆಳಗಿನ ಚಹಾ , ಹಾಂಗಕಾಂಗಿನಲ್ಲಿ ಮಧ್ಯಾಹ್ನದ ಊಟ , ಸಂಜೆ ಟೋಕಿಯೋ , ಮರುದಿನ ಸಾಯಂಕಾಲ ಸ್ಯಾನಫ್ರಾನ್ಸಿಸ್ಕೊ !"
3903,,"ಉಸಿರು ಕಟ್ಟುವ ವೇಗದಲ್ಲಿ ಮೂವತ್ತು ನಾಲ್ವತ್ತು ಸಾವಿರ ಅಡಿ ಎತ್ತರದಲ್ಲಿ , ಶೂನ್ಯ ಮಂಡಲದಲ್ಲಿ ಶಬ್ದಬ್ರಹ್ಮವಾಗಿ , ವೇಗದ ಅಪರಾವತಾರ ಆಗಿ ಹಾರಿ ನೆಗೆಯಿತು ನನ್ನ ವಿಮಾನ !"
3904,,ಆ ಎರಡು ದಿನಗಳ ಪ್ರಯಾಣವನ್ನು ಪ್ರಯಾಣ ಎನ್ನಲೆ ? ಪ್ರಯಾಸ ಎನ್ನಲೆ ? ಕನಸು ಎನ್ನಲೆ ? ನನಸು ಎನ್ನಲೆ ? ನಾ ಕಂಡುದು ಹೆಚ್ಚೆ ? ನಾ ಕಾಣದುದು ಹೆಚ್ಚೆ ?
3905,,"ವಿಮಾನ ಹಾರಿದಾಗ ಸುತ್ತಮುತ್ತ ಮೇಲೆ ಕೆಳಗೆ ಮೋಡ , ಮರಿಮೋಡ , ಕರಿಮೋಡ , ಬಿಳಿಮೋಡ , ಹಿಂಡುಮೋಡ , ತುಂಡುಮೋಡ ."
3906,,ಆ ಅನಂತದ ಸೃಷ್ಟಿಯಲ್ಲಿ ಕಿರುಚುವ ಕೂಗುವ ತೇಲಾಡುವ ಪುಟ್ಟ ಗ್ರಹದಂತೆ ಇತ್ತು ನನ್ನ ವಿಮಾನ !
3907,,"ಓ ನನ್ನ ವಿಮಾನ ಬಾಳಿನ ಸೆರಗಿನಲ್ಲಿ , ಮೃತ್ಯುವಿನ ಅಂಚಿನಲ್ಲಿ ಹಾರಿತು , ನೆಗೆಯಿತು !"
3908,,ಅನಂತಬ್ರಹ್ಮನು ಮೋಡ ಎಂಬ ಮೇಣದಲ್ಲಿ ವಿಧವಿಧವಾಗಿ ನಯನಯವಾಗಿ ಮೆತ್ತಿದ - ಕೆತ್ತಿದ ನೂರಾರು ಸಾವಿರಾರು ಬಗೆಯ ಕಲ್ಪನೆಯ ರೂಹುಗಳು .
3909,sg,ವಿಜ್ಞಾನವನ್ನು ಕೈಗೊಂಬೆ ಆಗಿಸಿದ ಮಾನವ ಅನಂತತೆಯ ಕೈಗೂಸು ಎಂಬುದನ್ನು ಹಠಾತ್ತನೆ ಆ ಶೂನ್ಯ ಮಂಡಲದಲ್ಲಿ ನೆನೆಸಿಕೊಂಡೆ .
3910,,ಸಾವಿಗೂ ಜೀವಕ್ಕೂ ಎಷ್ಟು ನಿಕಟ ಸಂಬಂಧ .
3911,,ಒಂದು ಬಾಗಿಲಿನ ಆಚೆ ಮೃತ್ಯುವಿನ ಕರಾಳ ನೃತ್ಯ ; ಒಂದು ಬಾಗಿಲಿನ ಈಚೆಗೆ ಬಾಳಿನ ಅನಂತವಾದ !
3912,,"ಕೆಳಗೋ "" ಆ "" ಎಂದು ಆಕಳಿಸುತ್ತ ' ಬಿದ್ದರೆ ಬಿಡೆ ' ಎಂಬ ತಪ್ತಸುಪ್ತ ಸಾಗರದ ತೆರೆದ ಬಾಯಿ !"
3913,sg,' ಈಶ್ವರ ನಿರ್ಮಿತ ಈ ಸೃಷ್ಟಿಯನು ಪಾರ್ವತಿ ನೀ ಸಲಹು ' ಎಂಬ ಕವಿವಾಣಿಯನ್ನು ಮನಸ್ಸು ತಾನ ಹಾಕುತ್ತಿತ್ತು .
3914,,ಅಂದು ನೆಲವನ್ನು ಬಿಟ್ಟು ವೇಗದ ಬೆನ್ನು ಏರಿದ ನಾನು ಇಂದಿಗೂ ನೆಲವನ್ನೂ ನೆಲೆಯನ್ನೂ ಕಂಡಿಲ್ಲವೇನೋ !
3915,,ಅಮೇರಿಕೆ - ವೇಗ ಎಂಬ ರಾಕ್ಷಸ ಬಿಟ್ಟೂಬಿಡದೆ ಹಗಲು ಇರುಳು ಸುತ್ತಮುತ್ತ ತಿರುಗಿಸುತ್ತಿರುವ ಭೂಖಂಡ !
3916,sg,ರಶಿಯನ್ನರು ಅಮೇರಿಕನ್ನರು ಅಂತರಿಕ್ಷಕ್ಕೆ ಹಾರಿಸಿದ ಮಾನವರ ತೆರನೆ ನನ್ನ ಇಲ್ಲಿಯ ಪಾಡು ಆಗಿದೆ .
3917,sg,ಬಿಟ್ಟೂಬಿಡದೆ ಚಕ್ರಾಕಾರವಾಗಿ ಅವರು ಅಂತರಿಕ್ಷವನ್ನು ಸುತ್ತಿದಂತೆ ನಾನು ಈ ವೇಗದ ಹೊಸ ಸೃಷ್ಟಿಯಲ್ಲಿ ಸುತ್ತುತ್ತಿದ್ದೇನೆ .
3918,,ಉಸಿರು ಬಿಗಿಯುವ ವೇಗದ ಬಾಳು ಇದು !
3919,,"ಕಣ್ಣು ಕುಕ್ಕಿಸುವ , ಎದೆ ನಡುಗಿಸುವ , ಮೈಮನಗಳನ್ನು ಬೆಪ್ಪು ಆಗಿಸುವ ವೇಗ ಈ ಸೃಷ್ಟಿಯದು !"
3920,sg,ನಾನು ನಡೆಯುತ್ತಿರುವುದು ಈ ಭೂಮಿಯ ಮೇಲೆ ಅಲ್ಲ - ಯಾವುದೋ ಯಕ್ಷ - ಯಕ್ಷಿಣಿಯರ ಮಾಯಾಲೋಕದಲ್ಲಿ ! ಎಂಬ ಭಾವನೆ ಮತ್ತೆಮತ್ತೆ ನನಗೆ ಇಲ್ಲಿ ಆಗುತ್ತಿದೆ .
3921,,ಭಾರತದಿಂದ ! ಭೂಮಿಯ ಒಂದು ದಿಕ್ಕಿನಿಂದ ಭೂಮಿಯ ಇನ್ನೊಂದು ದಿಕ್ಕಿಗೆ ನೀವು ಹೋಗುತ್ತಾ ಇಲ್ಲ !
3922,,"ಒಂದು ಲೋಕದಿಂದ ಇನ್ನೊಂದು ಲೋಕಕ್ಕೆ ನೀವು ಧಾವಿಸುತ್ತೀರಿ , ದೈವವು ಆಡಿಸಿದ ಬುಗುರಿಯಾಗಿ ಬಿಟ್ಟುಬಿಡದೆ ತಿರುಗುತ್ತೀರಿ , ಸುತ್ತುತ್ತೀರಿ , ನೆಲೆ ಇಲ್ಲ - ನೆಲ ಇಲ್ಲ ."
3923,sg,ಮುಗಿಯದ ಓಟ ನಿಮ್ಮದು ಆಗುತ್ತಿದೆ .
3924,,ನೀವು ಯಾರು ? ನಿಮ್ಮ ಹೆಸರು ಏನು ?
3925,sg,ನಿಮ್ಮ ನೆಲೆ ಎಲ್ಲಿ ? ಎಂಬುದೇ ನಿಮಗೆ ಮರೆವೆ ಆಗುತ್ತದೆ .
3926,pl,ಸುಂಟರಗಾಳಿಯಾಗಿ ಬೀಸುವ ಮುನ್ನುಗ್ಗುವ ಈ ನಾಡಿನ ಜೀವನದ ಎದುರು ತರಗೆಲೆಯಾಗಿ ನಿಮ್ಮನ್ನೇ ನೀವು ಮರೆತು ಹಾರುತ್ತೀರಿ .
3927,sg,"ಯಾವ ಎತ್ತರದಿಂದೋ ಯಾವ ಆಳಕ್ಕೋ ಹಾರಿ ನುಚ್ಚುನೂರಾಗಿ ಕಣಕಣವಾಗಿ ನೊರೆನೊರೆಯಾಗಿ ಮುಂದುವರಿಯುವ ಶರಾವತಿಯ ತೆರನೆ ನಿಮ್ಮ ವ್ಯಕ್ತಿತ್ವ , ಜೀವಜೀವಾಳ , ಈ ಹೊಸ ಸೃಷ್ಟಿಯ ತೆಕ್ಕೆಯಲ್ಲಿ ಚೂರುಪಾರು ಆಗುತ್ತದೆ ."
3928,pl,ಊರಿಗೆ ಅರಸರು ಆಗಿದ್ದವರು ಇಲ್ಲಿ ಹೇಳಹೆಸರಿಲ್ಲದವರು ಆಗುತ್ತೀರಿ .
3929,pl,ಈ ಪರದೇಶದಲ್ಲಿ ಇದ್ದ ನೀವು ನಿಜವಾಗಿಯೂ ಪರದೇಶಿಗಳು ಆಗುತ್ತೀರಿ .
3930,,ಈ ನಾಡಿನ ರಸ್ತೆ ನಮ್ಮಲ್ಲಿಯಂತೆ ಹಾಯಾಗಿ ಮಲಗಿರುವುದಿಲ್ಲ .
3931,,ಬದಲು ಯಾವಾಗಲೂ ಓಡುತ್ತಾ ಇರುತ್ತದೆ .
3932,pl,ಅದು ಹೇಗೆ ಅನ್ನುವಿರಾ ?
3933,,"ಅದೋ , ನನ್ನ ಕೋಣೆಯ ಆಚೆಗೆ ಇರುವ ಬೀದಿಯಲ್ಲಿ ಕ್ಷಣಕ್ಷಣವೂ ಹದಿನೈದು ಇಪ್ಪತ್ತು ಮೋಟಾರು ಕಾರುಗಳು ನಿರಂತರವೂ ಓಡುತ್ತಲಿರುವುದನ್ನು ದಿನವೂ ಕಾಣುತ್ತೇನೆ ಕೇಳುತ್ತೇನೆ ."
3934,,ಹಾಗೆಂದು ನಾನು ಇರುವುದು ಹೆದ್ದಾರಿಯ ಬದಿಯಲ್ಲಿ ಅಲ್ಲ !
3935,sg,ಒಂದು ಸಣ್ಣ ಬೀದಿಯ ಬಳಿಯಲ್ಲಿ ನನ್ನ ಕೋಣೆ ಇದೆ .
3936,sg,ಈ ಕಾರುಗಳ ನಿರಂತರ ಓಡಾಟವನ್ನು ಕೇಳಿದಾಗ ಮೊದಲು ಎಷ್ಟೋ ದಿನ ನಾನು ರಸ್ತೆಯ ಮೇಲೆಯೇ ಬದುಕುತ್ತಿದ್ದೇನೆ ಎಂಬ ಭ್ರಮೆ ನನಗೆ ಆಗುತ್ತಿತ್ತು !
3937,sg,ನನ್ನ ಕಾಲ ಅಡಿಯಲ್ಲೇ ಕಾರುಗಳು ಓಡುತ್ತಿವೆಯೋ ಏನೋ ಎಂದು ನನಗೆ ಅನಿಸುತ್ತಿತ್ತು .
3938,,ನಮ್ಮಲ್ಲಿಯಂತೆ ಇಲ್ಲಿ ರಸ್ತೆ ಪಾದಚಾರಿಗಳಿಗೆ ಅಲ್ಲ !
3939,,"ಅದು ಮೋಟಾರು ಕಾರುಗಳ , ಸಾರಿಗೆವಾಹನಗಳ ಓಡಾಟಕ್ಕೆ ಎಂದು ಮೀಸಲು !"
3940,,ಏನು ಇಲ್ಲ ಎಂದರೂ ತಾಸಿಗೆ ಸುಮಾರು ಐವತ್ತು ಅರವತ್ತು ಮೈಲುಗಳ ವೇಗದಲ್ಲಿ ಕಾರು - ಮೋಟಾರು ವಾಹನಗಳು ಅತ್ತಿಂದಿತ್ತ - ಇತ್ತಿಂದತ್ತ ಓಡುತ್ತಲೇ ಇರುತ್ತವೆ .
3941,,ಏನು ಅವಸರವೊ ! ಯಾವ ಗಂಡಾಂತರವೊ ! ಎಲ್ಲಿ ಬೆಂಕಿ ಉರಿಯುತ್ತಿದೆಯೋ ! ಅಥವಾ ಅಗಮ್ಯವನ್ನು ಭೇದಿಸುವ ಹಂಬಲವೇ ?
3942,,ಅಮೆರಿಕದ ಸಂಸ್ಕೃತಿ ತಾಸಿಗೆ ಐವತ್ತು - ಅರವತ್ತು ಮೈಲುಗಳ ವೇಗದಲ್ಲಿ ನಿರಂತರವಾಗಿ ಓಡುತ್ತಿದೆ ಎನ್ನಲೆ !
3943,,ವೇಗದ ಜೋಗದ ಜಲಪಾತ ಇದೆ ಎನ್ನಲೆ ?
3944,,ಮಧ್ಯಾಹ್ನ ಎರಡು ಘಂಟೆಯ ಹೊತ್ತು .
3945,sg,ಇದೋ ಒಬ್ಬಳು ಈ ಕಾರನ್ನು ವೇಗದಲ್ಲಿ ನಡೆಸುತ್ತಾ ಎಲ್ಲಿಗೋ ಹೊರಟಿದ್ದಾಳೆ .
3946,sg,ಇದೋ ಈ ಕೆಂಪು ತುಟಿಯ ಗುಂಗುರು ಕೂದಲಿನ ಯುವತಿ ಇನ್ನು ಎಲ್ಲಿಗೋ ತುಂಬಾ ಅವಸರದಲ್ಲಿ ಹೊರಟಿದ್ದಾಳೆ !
3947,sg,"ಇದೋ ಈಚೆ ಒಂದು ಕೈಯಿಂದ ತನ್ನ ನಲ್ಲೆಯನ್ನು ಅಪ್ಪಿಕೊಂಡು , ಇನ್ನೊಂದು ಕೈಯಿಂದ ಕಾರಿನ ಚಕ್ರವನ್ನು ತಿರುಗಿಸುತ್ತ ಸುಂಟರಗಾಳಿಯ ವೇಗದಲ್ಲಿ ಈ ತರುಣ ಇನ್ನು ಎಲ್ಲಿಗೋ ಹೊರಟಂತೆ ಇದೆ ."
3948,,ಒಂದರ ಹಿಂದೆ ಇನ್ನೊಂದು ದಿಕ್ಕುದಿಕ್ಕಿಗೆ ಮುಖ ಮಾಡಿ ಹೊರಟ ಅವಸರದ ಪಾಂಥರು ಇವರು .
3949,pl,"ಇಲ್ಲಿ ಕಾಲ ಓಡುತ್ತಿದೆಯೋ , ಕಾರು ಓಡುತ್ತಿದೆಯೋ , ಬಾಳು ಓಡುತ್ತಿದೆಯೋ ಯಾರು ಬಲ್ಲರು !"
3950,,"ಒಂದು ಊರಿನಿಂದ ಇನ್ನೊಂದು ಊರಿಗೆ ಹೋಗಲು ನಮ್ಮಲ್ಲಿಯಂತೆ ಇಲ್ಲಿ ಕಾಲುದಾರಿಗಳು ಇದ್ದರೂ ಅವು ಕಡೆಗಣಿಸಿದ , ಹಾಳುಬಿದ್ದ ದಾರಿಗಳೇ , ಎಲ್ಲರೂ ಕಾರಿನಲ್ಲಿ ಓಡುವಾಗ !"
3951,pl,ಬದಲು ಹೆದ್ದಾರಿಗಳು ಇವೆ .
3952,,ಸುಮಾರು ಐವತ್ತು - ಅರವತ್ತು ಅಡಿ ಅಗಲದ ಹೆದ್ದಾರಿಗಳು .
3953,,"ಆಚೆ ಈಚೆ ಪುಟ್ಟ ಪಥಗಳು ಇಲ್ಲದಿರುವ , ಕಾಂಕ್ರೀಟಿನ , ಕಾರು ಮೋಟಾರು ವಾಹನಗಳಿಗೆ ಎಂದು ಮೀಸಲು ಆದ ಹೆದ್ದಾರಿಗಳು ಇವು ."
3954,,"ನಮ್ಮ ದೇಹದ ನರನಾಡಿಗಳಂತೆ , ಅಮೆರಿಕೆಯ ಮೈಯ ನರನಾಡಿಗಳು ಇಲ್ಲಿಯ ಈ ವಿಶಾಲ ಹೆದ್ದಾರಿಗಳು !"
3955,pl,"ಒಂದೇ ಬಾರಿ , ಒಂದೇ ದಿಕ್ಕಿಗೆ ಏನು ಇಲ್ಲ ಎಂದರೂ ಕಾರುಗಳು ಓಡುತ್ತಿರುತ್ತವೆ ."
3956,,ಇದನ್ನು ಕಂಡರೆ ಮಾತ್ರ ನಂಬುವುದು ಸಾಧ್ಯ !
3957,,ಕಲ್ಪನೆಗೂ ಮೀರಿದ ಮನುಷ್ಯ ಸಾಹಸ ಇದು .
3958,,ಅದ್ಭುತ ಜೀವನ ಇದು .
3959,,ಇಲ್ಲಿಯ ಹೆದ್ದಾರಿಗಳೂ ಹಾಗೆಯೇ .
3960,,"ಕೆಳಗೆ ಒಂದು ಹೆದ್ದಾರಿ , ಮೇಲೆ ಒಂದು ಹೆದ್ದಾರಿ !"
3961,,"ಆಚೆಗೆ ಒಂದು ಹೆದ್ದಾರಿ , ಈಚೆಗೆ ಒಂದು ಹೆದ್ದಾರಿ !"
3962,pl,ದಿಲ್ಲಿಯಲ್ಲಿ ಜಂತರಮಂತರ ಎಂಬ ವಿಚಿತ್ರ ಹುಚ್ಚುಹುಚ್ಚಾಗಿ ಕಾಣುವ ನಿರ್ಮಾಣಗಳನ್ನು ಕಾಣುತ್ತೇವೆ ಅಲ್ಲವೇ ?
3963,sg,"ಹೆದ್ದಾರಿಗಳ ಜಂತರಮಂತರವನ್ನು , ರಸ್ತೆಗಳ ಚಕ್ರವ್ಯೂಹವನ್ನು ಇಲ್ಲಿ ಕಣ್ಣು ಕಾಣುತ್ತದೆ ."
3964,sg,ನಿಜವೇ ಸುಳ್ಳೇ ಎಂದು ಮನಸ್ಸು ತಾತ್ತ್ವಿಕ ಶಂಕೆಗೆ ಒಳಗಾಗುತ್ತದೆ .
3965,,ಬಲಕ್ಕೆ ಹೊರಳಿದರೆ ನೀವು ನಿಮಗೆ ಅರಿಯದಂತೆಯೇ ಯಾವ ದಿಕ್ಕಿಗೋ ಜಾರಿ ಬಿಡುತ್ತೀರಿ .
3966,sg,ಎಡಕ್ಕೆ ತಿರುಗಿದರೆ ನಿಮ್ಮ ಕಾರು ಇನ್ನು ಎಲ್ಲಿಗೋ ಓಡುತ್ತದೆ .
3967,pl,ಎಷ್ಟೋ ಸಲ ಇಲ್ಲಿಯ ಹೆದ್ದಾರಿಗಳು ಚಕ್ರಾಕಾರವಾಗಿ ಸುತ್ತಿ ಮುಂದೆ ಓಡುತ್ತಿವೆ .
3968,pl,ಇನ್ನು ಎಷ್ಟೋ ಸಲ ಅರ್ಧವರ್ತುಲಗಳಾಗಿ ಹರಿಯುತ್ತಿವೆ .
3969,sg,ನನ್ನ ಒಬ್ಬ ಗೆಳೆಯರ ಸಂಗಡ ಬರ್ಕಲಿಯಿಂದ ತುಸು ಹತ್ತಿರದಲ್ಲಿ ಇದ್ದ ಊರಿಗೆ ಎಂದು ಹೊರಟಿದ್ದೆ .
3970,pl,ಗೆಳೆಯರು ಕಾರು ನಡೆಸುತ್ತಿದ್ದರು .
3971,sg,ಎಲ್ಲೋ ಒಂದು ಎಡೆ ಅಜಾಗರೂಕತೆಯಿಂದ ಕಾರು ಯಾವುದೋ ದಿಕ್ಕಿಗೆ ಮುಖ ಮಾಡಿ ಹೊರಳಿತ್ತು !
3972,,ಮುಂದೆ ನಮಗೆ ಎದುರು ಆದುದು ದುರ್ಬೇದ್ಯ ಚಕ್ರವ್ಯೂಹ !
3973,,ಏನು ಆಶ್ಚರ್ಯ ! ಕಾರು ಬಲಕ್ಕೆ ಎಡಕ್ಕೆ ತಿರುಗಿ ಸುತ್ತಿ ನಾವು ಎಲ್ಲಿಂದ ಹೊರಟಿದ್ದೆವೋ ಅಲ್ಲಿಗೇ ಮರಳಿ ಬಂದಿತ್ತು !
3974,sg,ನಮ್ಮ ಗುರಿ ಗುರಿಯಾಗಿಯೇ ಉಳಿದಿತ್ತು !
3975,sg,ದೂರ ದೂರವಾಗಿಯೇ ಉಳಿದಿತ್ತು !
3976,,ಕಾರನ್ನು ನಡೆಸುತ್ತಿದ್ದ ನನ್ನ ಸ್ನೇಹಿತರು ತುಂಬ ಕುಶಲಚಿತ್ತರು !
3977,pl,ಯೋಚನೆ ಇಲ್ಲದೆ ಮುಂದೆ ಅಡಿ ಇಡುವವರು ಅಲ್ಲ !
3978,sg,ಆದರೂ ನಮ್ಮ ಪ್ರಯಾಣದ ಕತೆ ಇಷ್ಟು ಸ್ವಾರಸ್ಯ ಆಗಿತ್ತು .
3979,pl,ಇನ್ನೊಂದು ಎಂದರೆ ಇಲ್ಲಿಯ ಹೆದ್ದಾರಿಗಳಲ್ಲಿ ಕಾರು ನಡೆಸುವವರು ' ನಡೆ ಮುಂದೆ ನಡೆ ಮುಂದೆ ನುಗ್ಗಿ ನಡೆ ಮುಂದೆ ' ಎಂಬ ಪಲ್ಲವಿಯನ್ನು ಸತತವೂ ಮನಸ್ಸಿನಲ್ಲಿ ಮೆಲುಕು ಹಾಕುತ್ತಿರುತ್ತಾರೆ .
3980,,ಯಾಕೆ ಗೊತ್ತೇ ?
3981,,ಕಾರನ್ನು ಅತ್ತ - ಇತ್ತ ಹಿಂದೆ - ಮುಂದೆ ಸರಿಸುವಂತೆ ಇಲ್ಲ .
3982,,"ಯಾಕೆ ಎಂದರೆ ಆಚೆ - ಈಚೆ , ಹಿಂದೆ - ಮುಂದೆ ಕಾರುಗಳ ಸಾಲುಸಾಲು ಚಲಿಸುತ್ತಾ ಇರುತ್ತವೆ !"
3983,sg,ರಸ್ತೆ ಹೊರಳಿದತ್ತ ಕಾರೂ ಹೊರಳುತ್ತದೆ .
3984,,ಒಂದೇ ಗೋಪುರ ಉಳ್ಳ ಕೋಣೆಗಳಲ್ಲಿ ಇದು ಇಡೀ ಜಗತ್ತಿನಲ್ಲಿಯ ಅತ್ಯಂತ ದೊಡ್ಡದು ಎಂದೂ ಹೇಳಬಹುದು .
3985,,"ಈ ಜಿಲ್ಲೆಯ ಪ್ರಮುಖ ಪ್ರವಾಸಿ ಸ್ಥಳಗಳು ಎಂದರೆ , ಚಂದ್ರಗುತ್ತಿ , ಲಿಂಗನಮಕ್ಕಿ , ಅಂಬುತೀರ್ಥ , ಹೆಗ್ಗೋಡು , ಜೋಗಜಲಪಾತ , ಗುಡವಿ ಪಕ್ಷಿಧಾಮ , ಮಂಡಗದ್ದೆ ಪಕ್ಷಿಧಾಮ , ಆಗುಂಬೆ , ಕುಪ್ಪಳ್ಳಿಯ ಕವಿಶೈಲ , ಕೆಳದಿಯ ದೇವಸ್ಥಾನಗಳು , ಇಕ್ಕೇರಿ , ಅಘೋರೇಶ್ವರ ದೇವಸ್ಥಾನ , ಬಳ್ಳಿಗಾವೆ , ಉಡುತಡಿ , ಭದ್ರಾ ವನ್ಯಜೀವಿಧಾಮ , ಶರಾವತಿ ಕಣಿವೆ ವನ್ಯ ಜೀವಿಧಾಮ , ಶೆಟ್ಟಿಹಳ್ಳಿ ವನ್ಯಜೀವಿಧಾಮ , ಕೊಡ್ಲಿತಿ ಮಠ , ಕೊಡಚಾದ್ರಿ , ಸಿಂಹಧಾಮ , ಹೊಂಬುಜ ಬಸದಿಗಳು ಮತ್ತು ಭದ್ರಾ ಜಲಾಶಯ ."
3986,sg,"ಜೋಗದಲ್ಲಿ ವಾಸ್ತವ್ಯಕ್ಕೆ ವಸತಿಗೃಹ ಹಾಗೂ ವಿದ್ಯುತ್ ನಿಗಮ , ಲೋಕೋಪಯೋಗಿ ಇಲಾಖೆ ಹಾಗೂ ಅರಣ್ಯ ಇಲಾಖೆಯ ಅತಿಥಿ ಗೃಹಗಳು ಇವೆ ."
3987,sg,ಕೋಟೆಯ ಒಳಗೆ ಕೆಳದಿ ವೆಂಕಟಪ್ಪನಾಯಕ ಕೆಲವು ಕಟ್ಟಡಗಳನ್ನು ಕಟ್ಟಿಸಿದನು ಎಂದು ಕೆಳದಿ ನೃಪವಿಜಯದಲ್ಲಿ ಹೇಳಿದೆ .
3988,sg,ಮುಂದೆ ಹೈದರಾಲಿಯು 1761ರಲ್ಲಿ ಕೆಳದಿ ರಾಜರನ್ನು ಸೋಲಿಸಿ ತನ್ನ ರಾಜ್ಯಕ್ಕೆ ಈ ಪ್ರಾಂತ್ಯವನ್ನು ಸೇರಿಸಿಕೊಂಡು ಈ ದುರ್ಗಕ್ಕೆ ಕಾವಲುದುರ್ಗ ಎಂದು ಹೆಸರು ಇಟ್ಟನು .
3989,sg,ದರ್ಗಾದ ಆವರಣದಲ್ಲಿ ಬಾವಿ ಹಾಗೂ ಕಲ್ಯಾಣಿಗಳು ಇವೆ .
3990,sg,"ದೇಶದ ಪ್ರಮುಖ ಬಂದರುಗಳಲ್ಲಿ ಇದು ಒಂದು ಆಗಿದ್ದು , ಮಂಗಳೂರು ಸುತ್ತಮುತ್ತಲಿನ ಪ್ರದೇಶಗಳಿಗೆ ಈ ಬಂದರು ವರದಾನವಾಗಿ ಪರಿಣಮಿಸಿದೆ ."
3991,,ಬೀದರ್ ಜಿಲ್ಲೆ : .
3992,,ಮಹಾತ್ಮ ಗಾಂಧಿ ವಿಹಾರಧಾಮ : .
3993,sg,ಭಗವತಿ ನೇಚರ್ ಕ್ಯಾಂಪಿನ ಪರಿಸರ ಆಹ್ಲಾದ ನೀಡುತ್ತದೆ .
3994,sg,"ಸೂತನಬ್ಬಿ ಜಲಪಾತ ಅಥವಾ ಹನುಮಗುಂಡಿಗೆ ಹೋದರೆ ಈ ಜಲಪಾತಕ್ಕೆ ಪ್ರವೇಶ ಮಾಡಲು ವಯಸ್ಕರಿಗೆ 30 ರೂ. , ಮಕ್ಕಳಿಗೆ 15 ರೂ. ದರ ನಿಗದಿ ಮಾಡಲಾಗಿದೆ ."
3995,pl,ರಾಜಭವನ ಎಂಬ ವೈಭವಯುತ ವಸತಿ ನಿಲಯದಲ್ಲಿ ಸುಸಜ್ಜಿತ ವ್ಯವಸ್ಥೆಗಳು ಇವೆ .
3996,,ದಾಸ್ತಾನು ವಿಭಾಗವು ತಯಾರಿಕಾ ವಿಭಾಗಕ್ಕೆ ಹತ್ತಿರದಲ್ಲಿ ಇರುವುದು ಎಲ್ಲ ದೃಷ್ಟಿಯಿಂದಲೂ ಉತ್ತಮ .
