objnum,sentences
,سائیکل سے قریب ۱۲ ہزار کلو میٹر کا سفر طئے کرتے ہوئے وہ دلی سے پیر کو اپنے گھر کوٹا پہنچے گا ۔
,اس کے والد نریش_چندراول یہاں فوج میں کرنل ہیں اور ماں پریتی خاتون_خانہ ہیں ۔
sg,آئی_آئی_ٹی کانپور سے ایم_ایس_سی ( ریاضی ) کرنے کے بعد اس نے دو سال جینپیکٹ سافٹویر کمپنی ، بنگلور میں بزنس اینالسٹ کے عہدے پر کام کیا ۔
sg,آفس آنے جانے کے لئے بھی وہ روز ۱۲ کلو میٹر سائیکل ہی چلاتا تھا ۔
sg,` سیودی_ارتھ ` مشن کو لے کر اس نے کنّیاکماری ، کیرل ، کرناٹک ، جموں_وکشمیر ، ہماچل و پنجاب سمیت ۱۰ ریاستوں کی مشکل پہاڑی اور برفیلے راستوں پر اکیلے سائیکل سفر کیا ۔
sg,کشیپ نے آئی_آئی_ٹی میں پڑھتے ہوئے ماءونٹینری کا کورس بھی کیا تھا ۔
sg,سفر کے دوران میدانی علاقوں میں اس نے ایک دن میں ۱۵۰ کلو میٹر تک سائیکلنگ کی ۔
,الگ الگ ریاستوں میں اسے مخالف موسم کا سامنا کرنا پڑا ۔
,بھیانک گرمی ، برسات اور برفیلے راستوں سے گزرنا پڑا ۔
pl,اس نے ماحول بچانے کے لئے الگ الگ ریاستوں میں کی جا رہی کوششوں کو فیس_بک کے ذریعہ لوگوں تک پہنچایا ۔
,کشیپ نے فون پر بتایا کہ جنوبی ریاستوں میں لوگوں سے گفتگو کرتے ہوئے اس نے ملیالم جیسی کچھ زبانیں سیکھیں ۔
sg,وہ اب تک کئی پہاڑی علاقوں کی سائیکل سیر کر چکا ہے ۔
,نام سے ہی اندازہ لگ گیا تھا کہ یہ فلم خالص طور سے باکس_آفس کو دھیان میں رکھ کر بنائی گئی ہے ۔
,دو گجّر گینگس کے خونریزی کے درمیان ٹکراؤ کے درمیان ایک پولس انسپکٹر کی ہیروگیری ۔
,لمبی چوڑی اسٹار کاسٹ اور کئی قسم کے مسالے ۔
,لیکن فلم ضلع غازی_آباد میں ایسا کچھ بھی نہیں ہے کہ کوئی تنازعہ کھڑا ہو ۔
sg,فلم میں موجود فوجی ستبیرگجّر اور پریتم_سنگھ جیسے کچھ نام ضرور احساس دلا دیتے ہیں کہ یہ حقیقی کہانی پر مبنی فلم ہے لیکن یہ سچ نہیں ہے ۔
,سچ تو یہ ہے کہ ضلع غازی_آباد کچھ ہٹ اور مشہور گینگیسٹر اور پولسیا فلموں کی چھایا ہے ۔
,اس فلم کو بنا کسی شک کے ` ` اومکارا ، دبنگ ، سنگھم اور راوڈی_راٹھور ` ` کی کاکٹیل بھی کہا جاتا ہے ۔
,کل ملا کر یہی کہ ٹائٹل کے علاوہ اس فلم کا تعلق کسی بھی معاملے میں غازی_آباد سے نہیں ہے ۔
,کچھ مناظر کو چھوڑ دیں تو ، اس کی زیادہ_تر شوٹنگ مہاراشٹر کے وائی شہر میں ہوئی ہے ۔
,ضلع غازی_آباد میں دو گجّڑ گینگس کے ٹکراؤ کی کہانی ہے ۔
,ایک گینگ ہے فوجی کا اور دوسرا ماسٹر جی عرف ستبیرگجّر کا ۔
,جب ان دونوں گینگس کی آپسی لڑائی ضلع کے عام باشندوں کے لئے مصیبت بن جاتی ہے تو اینٹری ہوتی ہے ایک افلاطون قسم کے انسپکٹر پریتم_سنگھ کی ۔
,پریتم_سنگھ سفارتی طریقے سے دونوں گینگس کا خاتمہ کراتا ہے اور اپنی دبنگئی سے محکمہ اور عام آدمی کی واہ_واہی لوٹتا ہے ۔
,کہنے کی ضرورت نہیں کہ فلم میں گولی_باری کے لئے مناسب جگہ تو ہے ہی آئٹم سانگس کے لئے بھی اسپیس ہے ۔
,چونکہ یہ اس کیٹیگری کی فلم ہے جسے دماغ گھر میں رکھ کر دیکھنے جایا جاتا ہے اس سے نہ تو پولس کی امیج پر کوئی اثر پڑنا ہے اور نہ ہی ضلع غازی_آباد کی کوئی بدنامی ہونی ہے ۔
,ہدایت_کار کی بات کریں تو آنندکمار کا کام اوسط ہے ۔
sg,فنکاروں کی اداکاری میں سنجیدگی نہیں ہے ۔
,سنجےدت اور ارشدوارثی نے بطور ایکٹر اپنی نئی امیج بنانے کی کوشش کی ہے ۔
,وویک_اوبرائے ، چندرچورن_سنگھ ، پریش_راول ، آشوتوش_رانا ، دوّیادّتا اور منیشالامبا اپنی اپنی ایکٹنگ میں فٹ ہیں ۔
,ممبئی کے ایلیفینٹا کے مجسمے ہوں یا سارناتھ واقع بھگوان_بدھ کا مجسمہ ، ان اساطیری وراثت کو کینواس پر رنگوں میں سجا دیکھنا بھی ایک پرسکون احساس کراتا ہے ۔
,تیل_آلود رنگوں کے مرکب سے بنی ان دلکش تصاویر میں آپ کو کھجوراہو کی شو پاروتی جیسی تمام مورتیوں کو دیکھنے کا موقع ملے گا ۔
,جسے مختلف چٹکیلے رنگوں کے استعمال سے مصور ` سلن_مرگود ` نے کینوس پر رچا ہے ۔
,آزادبھون میں ` پاسٹ_انٹوپرزنٹ ` نامی پینٹنگ نمائش میں لگے پُرحیات تصویروں کو دیکھ کر ایسا معلوم پڑتا ہے جیسے یہ ابھی بول پڑیں گی ۔
,فن شائقین کے لئے بےحد پسندیدہ رہی اس نمائش میں لوگوں کے لئے ان خاص تصاویر کے علاوہ رقص کرتی اس خاتون کی تصویر بھی رہی جس کی مورتی موہن_جوداڑو کی کھدائی سے حاصل ہوئی ہے ۔
sg,وہیں نٹراجن اور کرناٹک کی افسانوی مورتیوں میں سے ایک نندی_بیل کی تصویر کو بھی لوگوں نے پسند کیا ۔
,نمائش میں بھگوان بدھ کی تصویر بھی ہے جس میں ان کے چہرے کے الگ الگ تاثرات کو مجسموں سے لیا گیا ہے ساتھ ہی ان میں کچھ فنی نمونے بھی شامل ہیں ۔
,بھگوان وشنو کے غرور کے ساتھ تصاویر میں اشوک استمبھ کو بھی فنکار نے لکیروں سے سجایا ہے ۔
,یہ بہترین پینٹنگ نمائش ۲۹ مئی تک چلے گی ۔
,خواتین سے متعلق واردات میں مسلسل ہو رہے اضافے کے پیچھے کون ہے ذمہ_دار ۔
,انتظامیہ ، پولس ، قانون ، سماج یا پھر سرکار ۔
,ان سوالوں کے نتائج پر پہنچنا تو ابھی تک ممکن نہیں ہو پایا ہے لیکن جب نوجوان فنکاروں نے ان سوالوں کو طنز و مزاح کے روپ میں اسٹیج پر پیش کیا تو ناظرین ان میں چھپی سچائی کو جاننے کی کوشش میں دکھائے دئے ۔
,مکت_دھارا آڈیٹوریم میں دکھایا گیا ڈرامہ ` جنتادربار ` کے دوران ناظرین نے خاص طور پر سمجھنے کی کوشش کی ۔
,غیرسرکاری ادارے کے ذریعہ منعقد سالانہ پروگرام مسکراہٹ ۲۰۱۳ کے تحت اس ناٹک کی ہدایتکاری راجیوسنہا نے کی ۔
,ڈرامے میں دکھایا گیا جب ایک غریب بھکاری کو کائنسلر بنایا جاتا ہے تو سماعت میں آئی خاتون خود کے ساتھ ہوئے زدوکوب کے لئے مدد مانگتی ہے ۔
,سماعت کے دوران ماں-باپ کو بتایا جاتا ہے اور سوال کیا جاتا ہے کہ اس کے لئے کون ذمہ_دار ہے وہ سماج کو ملزم ٹھہراتے ہیں ۔
sg,سماج کے ٹھیکیدار انتظامیہ کو ذمہ_دار بتاتے ہے ۔
,وہیں انتظامیہ قانون کو اور قانون سرکار کو ۔
sg,اس طرح آخر میں حکومت کے ذریعہ اپنی سہولیت کے مطابق قانون میں ترمیم کرنے کی کوشش کو بھی طنزیہ مکالمات کے ذریعہ پیش کیا گیا ۔
,ڈرامے کے اہم فنکاروں میں ریشوسنہا ، سنجیوملک ، سوپنل راج_گورو و ودّیاوشوناتھن نے اپنی فنکاری سے متاثر کیا ۔
,ساہتیہ-کلا-پریشد کے تعاون سے دلی حکومت کے محکمہءفن ، ثقافت و السنہ کے ذریعہ منعقدہ ۳۰ ویں بھارتی ندو ناٹیہ اتسو تقریب پیر کو شری رام سینٹر میں شروع ہوئی ۔
sg,تقریب کے پہلے دن ناکام محبت کی لازوال علامت بن چکی ` لیلیٰ_مجنوں ` کی کہانی پیش کی گئی ۔
pl,۲۵ مارچ تک چلنے والے اس میلے میں ایک ہفتے تک کئی نامی ہدایتکاروں کی ہدایتکاری میں کئی بہترین ڈراموں کو پیش کیا جائے گا ۔
,ناتھرام گوڑ کے لکھے ڈرامے ` لیلامجنوں ` کی ہدایت این ایس ڈی گریجوئیٹ انل چودھری نے کیا ہے ۔
sg,محبت کی اس لاجواب داستان کو جب نوٹنکی طرز میں دلچسپ اور ماہرانہ انداز میں پیش کیا گیا ہے ۔
,جسے دیکھ کر ناظرین کا دل پسیج گیا اور ڈرامہ خوب پسند کیا گیا ۔
,تقریب کا افتتاح این ایس ڈی کی صدر امَل آنا نے کیا ۔
pl,آٹھ روزہ اس ںاٹیہ اتسو میں سلیم رضا ، سُہیلاکپور ، باپی بوس جیسے نامی گرامی ہدایتکاروں کے علاوہ مختلف موضوعات پر مرکوز کئی نامی گرامی ڈراموں کو پیش کیا جائے گا ۔
,بھگوتی چرن ورما کے مشہور ناول چندرلیکھا پر مبنی اسی نام سے بنا ڈرامہ بھی اسی تقریب میں پیش ہوگا ۔
,اس کی ہدایتکاری سریندرشرما نے کی ہے ۔
,چتراسنگھ کی ہدایت_کاری میں قصہ موجپور بھی پیش کیا جائے گا ۔
,منگل کو سعادت حسن منٹو کی سوانح اور ان کے کردار پر مبنی ڈرامے ` ایک کتے کی کہانی ` سلیم رضا کی ہدایت میں پیش کیا جائے گا ۔
,اس ڈرامے کے قلم_کار دانش اقبال ہیں ۔
,رنر کے بطور قومی و بین_الاقوامی شہرت حاصل ہونے کے بعد حالات کی وجہ چنبل کا ڈکیت بننے والے پان سنگھ تومر کی کہانی پر مبنی فلم کو ۶۰ ویں قومی فلم انعامات میں سب سے اونچا مقام ملا ہے ۔
,تگمانشودھولیا ہدایت_کردہ پان سنگھ تومر عمدہ_ترین فیچر فلم سے نوازی گئی ہے جبکہ اسی فلم میں بہترین اداکاری کے لئے عرفان کو عمدہ_ترین اداکار کا اعزاز دیا گیا ہے ۔
,عرفان کے ساتھی مراٹھی اداکار وکرم گوکھلے کو بھی مراٹھی فلم کی اجازت کے لئے عمدہ_ترین اداکار کا اعزاز دیا گیا ہے ۔
,مراٹھی فلم ` ` دھگ ` ` میں اداکاری کے لئے مراٹھی اداکارہ اوشاجادو کو عمدہ_ترین اداکارہ کا اعزاز دیا گیا ہے ۔
,بزرگ فلم_کار باسوچٹرجی کی صدارت والی قومی فیچر فلم جیوری نے ۱۴ زبانوں میں کل ۳۸ فلموں کو مختلف انعامات کے لئے منتخب کیا جن میں کئی اہم انعامات ہندی اور مراٹھی فلموں کو گئے ہیں ۔
,عمدہ_ترین ہدایتکاری کا اہم اعزاز بھی ` ` دھگ ` ` کے لئے شیواجی لوٹن پاٹل کو دیا گیا ہے ۔
,ویسے ۶۰ ویں قومی فلم انعامات میں ہندی فلموں کا جلوہ رہا ۔
,۲۰۱۲ کی مشہور اور مقبول فلم ` ` وکی ڈونر ` ` کو مکمل تفریح کے لئے عمدہ_ترین عوامی انعام ملا ہے تو ہدایتکار کی پہلی بہترین فلم کے لئے اندراگاندھی انعام بیدبرت پین کی چٹگاوں کو دیا گیا ہے ۔
,عمدہ_ترین اطفال فلم کا اعزاز بھی ہندی فلم ` ` دیکھ انڈین سرکس ` ` اور اسی فلم کے اطفال اداکار ویریندرپرتاپ کو بہترین اطفال اداکار کا انعام دینے کا فیصلہ کیا گیا ہے ۔
,عمدہ_ترین معاون ادکار انوکپور اور معاون ادکارہ ڈالی اہلوالیا کا انعام بھی وکی_ڈونر کے لئے دینے کا فیصلہ لیا گیا ۔
sg,۳ مئی کو پنڈت برجومہاراج بھی صدر کے ہاتھوں انعام حاصل کرینگے ۔
sg,انھیں یہ اعزاز کمل حاسن کی فلم ` ` وشوروپم ` ` کے ایک گیت کی کوریوگرافی کے لئے دیا گیا ہے ۔
,پرینکاچوپڑا کی بہن پرینیتی چوپڑا کو اس کی پہلی فلم ’ عشق_زادے ‘ کی اداکاری کے لیے جیوری نے خاص ذکر کے قابل مانا ۔
,عمدہ_ترین گلوکار کا انعام ہندی فلم ` چٹگاوں ` کے لئے شنکرمہادیون اور عمدہ_ترین گلوکارہ کا اعزاز مراٹھی فلم ` ` سنہتا ` ` کے گیت کے لئے آرتی انکلیکرٹکیکر کو دیا گیا ہے ۔
pl,۲۰۱۲ کی کچھ مشہور فلموں کو بڑے انعام نصیب نہیں ہوئے ۔
,کہانی کو عمدہ_ترین بنیادی مکالمے ( سجےگھوش ) اور عمدہ_ترین ایڈیٹنگ ( نمرتاراو ) کے اعزاز سے صبر کرنا پڑا جو گجراتی ناٹک پر مبنی ایک دیگر مشہور فلم ` اومائی_گاڈ ` کے عمدہ_ترین اڈیپٹیڈ اسکرین_پلے ( بھویش منڈالیا ، اومیش شکلا ) کے انعام سے ۔
sg,انوراگ کشیپ کی مشہور فلم ` گینگس آف واسے_پور ` کو ریکارڈنگ کے ایک تکنیکی انعام سے ہی اطمینان کرنا پڑا ۔
,مہادیو آڈیٹوریم کو پرتھوی تھیئیٹر کا روپ ؟
,پرم کے برخلاف قومی فلم جیوری نے انعامات کی سفارشیں اطلاعات و نشریات کے وزیر کو سب سے پہلے سونپنے کی بجائے اسے میڈیا کے سامنے پہلے رکھ دیا ۔
,وزیراطلاعات و نشریات منیش تِواری کی صلاح پر ایسا کیا گیا جن کا ماننا ہے کہ جیوری نے غیرجانبدار ہو کر کام کیا ہے تو سب سے پہلے فاتحین کے نام کو عام کر دیا جانا چاہیئے ۔
,ڈاکیمنٹری فلموں کے لئے نمائش کے اچھے پلیٹ_فارم دستیاب کرانے کے ایک مشورے کے سیاق میں منیش تیواری نے جیوری ارکان سے کہا کہ ان کی وزارت دہلی میں واقع سرکاری مہادیوآڈیٹوریم کو ممبئی کے پرتھوی تھئِٹر جیسا روپ دیا جا سکتا ہے ۔
sg,چڑا ایک ڈال پر بیٹھا ہوا اپنے خالی گھونسلے کو دیکھ رہا تھا ۔
,اس کے چہرے پر چڑچڑاہٹ تھی اور رہ رہ کر اس کی یہ چڑچڑاہٹ اس کی آواز میں ڈھل کر آ رہی تھی ۔
,گھونسلے میں چڑیا اور اس کے بچے نہیں تھے ۔
,منے نے بھی دو بار جھانک کر دیکھا سچ میں گھونسلہ خالی پڑا تھا ۔
,پیڑ پودوں سے پتّے جھڑ رہے تھے جو بار بار اس کے چہرے کو ادھر ادھر کر ان سے بچنے کی کوشش کر رہا تھا اور اس کی نیند ٹوٹ گئی ۔
,منے کو یاد آیا کہ کل رات وہ دادی سے کہانی سنتے سنتے سو گیا تھا ۔
,کہانی میں آگے کیا ہوا یہ تو پتہ ہی نہیں چلا ۔
sg,غالباً دادی نے اسے سویا دیکھ کر کہانی آگے نہیں سنائی ہوگی یا پھر دادی خود بھی سو گئی ہوگی کیونکہ ممی کہہ رہی تھی کہ بوڑھے لوگ جلدی تھک جاتے ہیں ۔
,دن بھر کچھ نہ کچھ کرتی بھی رہتی ہیں ۔
sg,آجکل اس کی دادی کچھ دنوں کے لئے اس کے پاس آئی ہوئی تھی ۔
,کوئی بات نہیں آج کہانی سن کر ہی سو جاوں گا منے نے خود سے کہا ۔
,صبح کے ناشتے کے بعد ہی وہ دادی کے پاس جا پہنچا اور ضد کرنے لگا کہ کل کی کہانی سناؤ ۔
,دادی نے اسے سمجھایا کہ کہانی رات میں سنی جاتی ہے ۔
sg,دن میں کہانی سننے سے آدمی راستہ بھول جاتا ہے ۔
,اس نے پھر ضد کی ` ` نہیں ، مجھے سننی ہے ۔۔۔ وہی کل والی کہانی ` ` ۔
,` وہ تو سنا دی تھی ` ۔
,وہ سب میں کچھ نہیں جانتا ۔
,میں سو گیا تھا ، بس مجھے کہانی سننی ہے ۔
,آپ کہتی ہیں رات میں سپنے میں کہانی پوری ہو جاتی ہے لیکن میں نے تو سپنے میں بھی پوری کہانی نہیں سنی اور نہ دیکھی ۔
,اچھا ٹھیک ہے ، آج رات میں سن لینا ، میں پھر سے سنا دونگی ۔
,بات طئے ہو گئی اور منا دن بھر انتظار کرتا رہا کہ کب رات ہو اور وہ دادی سے کہانی سنے ۔
,رات بھی ہو گئی اور جب سب نے کھانا کھا لیا تو منا پھر دادی کے بستر میں جا گھسا ۔
,اس کے خیال سے اب سونے کا وقت ہو گیا تھا اور اسے دادی سے کل والی کہانی سننی تھی ۔
,اس نے پھر سے دادی کو کہانی سنانے کو کہا ۔
,دادی نے اس سے پوچھا - ` ` اچھا یہ بتا ، تو نے کہانی کہاں تک سنی تھی ؟ ` `
,` ` آپ شروع سے سنائیے نا ۔۔۔
,اچھا ٹھیک ہے ۔
,دادی نے کہانی شروع کرنے کے لئے پہلے اسے خبردار کیا ` ` لیکن کل کی طرح سے مت سو جانا ۔ ` `
,` ` میں بالکل نہیں سوؤں گا بس آپ کہانی کہتے جائیے ۔ ` `
,` ` اچھا تو سن ` ` ایک تھا چڑا اور ایک تھی چڑیا ۔
sg,دونوں نے پیڑ کی ایک ڈال پر اپنا گھونسلہ بنا رکھا تھا ۔
pl,ان کے دو بچے تھے ۔
sg,ان لوگوں نے ان کا نام چیں_چیں اور چوں_چوں رکھا تھا ۔
,ایک دن چڑیا کو کہیں سے چاول کے ڈھیر سارے دانے اور چڑا کو دال کے دانے ملے ۔
,دونوں نے سوچا کہ آج کچھ بنایا جائے ۔
,ہفتے کا آخری دن تھا یعنی سنیچر ۔
,چڑا اور چڑی چاہتے تھے کہ کھچڑی بنے لیکن بچوں کا من تھا کہ پلاؤ بنے ۔
,چڑا اور چڑی نے پلاؤ بنانا ہی طئے کیا ۔
,سو تو نہیں گئے ؟ دادی نے بیچ میں پوچھا ؛ نہیں دادی
sg,` ` تو سنو آگے سنو ` ` منا کو سویا نہ جان کر ، دادی نے کہانی آگے بڑھائی ۔
,ایک بڑا سا پتیلہ چڑھایا گیا ۔
,منے نے بیچ میں ہی روک کر متجسس ہو کر جاننا چاہا کہ چڑا چڑیا کا پیٹ تو چھوٹا ہوتا ہے تو پھر بڑا سا پتیلہ کیوں ؟
,دادی نے سمجھایا کہ گڑیوں کے برتن میں سے سب سے بڑا والا ۔
,چڑا بھی ساتھ دیتا رہا اور دونوں نے مل کر پلاؤ بنایا ۔
,پلاؤ بڑا ہی لذیذ بنا ۔
,چڑے نے پیڑ سے پتے توڑے اور جھٹ_پٹ پتوں کی پلیٹ بنا ڈالی ۔
,دو ڈالوں پر ٹہنیاں اور بڑے پتوں کو بچھا کر بیٹھنے کا انتظام کر لیا گیا ۔
,سب نے جی بھر کر پلاؤ کا لطف اٹھایا اور اپنے اپنے بستروں میں آرام سے گھس گئے ۔
,سب کو نیند آ گئی ۔
,ابھی شام ہو ہی رہی تھی کہ اچانک چیں_چیں کی نیند ٹوٹی اس کے پیٹ میں درد ہو رہا تھا ۔
sg,اس کاروبار میں سرمایہ حاصل کرنے کے لیے آج بھی روایتی طور طریقے اپنائے جاتے ہیں ۔
,اس میں سرمایہ_کاری اور کاروبار کے دستیاب اعداد و شمار کا ایک حصہ اب بھی اندازے کے دائرے میں آسانی سے رکھا جا سکتا ہے ۔
,اس کاروبار میں سرمایہ_کاری میں آج بھی غیرسرکاری سرمایہ_کاری شعبے کا اہم کردار ہے ۔
sg,فلمسازی کے ابتدائی دور میں عام طور پر یہ کاروبار خاندان اور روابط کے معرفت ہی آتا تھا ۔
,یہ وہ دور تھا جبکہ فلم کو کاروبار کے بجائے سماجی اصلاح کے ایک ذرائع کی صورت میں دیکھا جاتا تھا ۔
,فلموں میں کام کرنے والے فنکاروں کو ماہانہ تنخواہ دیئے جانے کا انتظام تھا اور یہ رقم سیکڑوں اور ہزاروں تک محدود تھی ۔
,یہ دور بڑی بجٹ فلموں کا نہیں تھا ۔
,لیکن اس میں کہانی ، فن اور موسیقی کے پہلو کو منافع کمانے کے مقابلے میں زیادہ اہمیت دی جاتی تھی ۔
,اس کاروبار میں وسیع پیمانے پر پیسہ لگانے کا سلسلہ کثیرفنکار فلموں کے بننے کے ساتھ تیزی سے آگے بڑھا ۔
,سرمایہ_کاری اور منافع کی حصہ_داری میں بینکنگ شعبہ کے بجائے دیگر راستوں کا استعمال آج بھی بڑے پیمانے پر کیا جا رہا ہے ۔
,بڑی کمپنیوں اور کارپوریٹ شعبہ کے اس کاروبار میں اتر آنے کے بعد سے اس صنعت کے ضابطے کا ایک نیا دور شروع ہوا ۔
sg,تجارتی منتظمین کے اس کام میں حصےدار بننے کے بعد سے یہ کام اب زیادہ تجارتی طریقے سے کیا جا رہا ہے ۔
,بدلتے ہندوستان کے ساتھ فلم دیکھنے کے طور طریقے بھی بدلے ہیں ۔
,سنیماگھر اب صرف تفریح تک ہی محدود نہیں رہ گئے ہیں ۔
,وہ شاپنگ - مال تہذیب کے ساتھ تفریح کے مجموعی بازار کا ایک اٹوٹ حصہ بن چکے ہیں ۔
,آج ہندوستان ایک ایسا ملک بن چکا ہے جہاں دنیا میں سب سے زیادہ فلمسازی ہوتی ہے ۔
,ہندی کے علاوہ دیگر ہندوستانی زبانوں میں بننے والی فلموں کے ناظرین کی دنیا میں سب سے زیادہ تعداد ہے ۔
sg,اس وقت ملک بھر میں سنیما کی دنیا میں قریب ۲۰ لاکھ لوگوں کو براہ_راست یا بالواسطہ طور سے روزگار ملا ہوا ہے ۔
,ہندوستان کے سنیما بازار کو قریب ڈھائی عرب امریکی ڈالر کا مانا گیا ہے ۔
,تشدد ، جرم اور عام موسیقی کے ذریعے انہیں اگلی نششتوں کو پُر کرنے کے لائق بنانے کے لیے کوشسش کی جاتی ہے ۔
,اس کاروبار کے دانشوروں کا دعویٰ ہے کہ نامی گرامی فنکاروں کی فیس کی شرحیں سال در سال بڑھتی ہی جا رہی ہے ۔
sg,کس فنکار کو کس فلم کے لیے کتنی رقم ملی اس کے متعلق بیشتر معلومات عام طور پر دستیاب نہیں ہوتی ۔
sg,رقم دینے والے اور لینے والے دونوں اس بارے میں کوئی دفتری معلومات فراہم نہیں کراتے ۔
,لیکن اس طرح کے اعداد و شمار بازار اور تجارت کے شعبے سے منسلک لوگوں کے ذریعے فراہم کرائے جاتے ہیں ۔
,ایک فلم کے لیے پانچ کروڑ یا اس سے بھی زیادہ رقم ادا کی جاتی ہے ۔
,فلم صنعت اور اس کی تجارت کا براہ_راست اثر ٹیلی_ویژن اور ریڈیو خاص طور سے ایف - ایم چینلز کے منصوبوں اور فروغ پر پڑ رہا ہے ۔
,ہندوستانی فلمی دنیا اس دور میں خود کو نہ صرف مقامی بنائے ہوئے ہے بلکہ اس سے آگے بڑھنے کے مواقع بھی تلاش رہی ہے ۔
,آج غیرملکی فلمساز اور ہدایتکار ہندوستان اور ہندوستانی پس_منظر کے موضوعات پر فلمیں بنانے کے لیے آگے آ رہے ہیں ۔
,اس تعاون اور امتزاج کے اقتصادی اور تجارتی پہلو تو ہیں ہی ، یہ صنعتی تجارت کے لحاظ سے بھی بےحد اہم ہیں ۔
,رادھےکرشن ، رادھےکرشن ، کوئی ہے دیکھو بھائیو ! یہ دکاندار کنورجی کی مرمت کر رہا ہے ۔
,میں تو آپ کا نوکر ہوں حضور ۔
,اجی ہاں آپ ہی نے تو کہا تھا مالش کرنے کو ۔
,ارے ہاں ، ہمیں نے تو کہا تھا مالش کرنے کو ، ہم بھی عجیب ہیں ۔
,ارے بھائی لوگ تم لوگ جاؤ جاؤ ! اس میں پنڈت جی کا کوئی قصور نہیں ۔
sg,کہو ، ہمارے لیے کوئی لڑکی دیکھی ؟
sg,بھولا ! اس گرمی کے دوپہر میں بند کمرے میں بیٹھ کر تو یہ عالمیات کیا پڑھ رہا ہے ۔
,تو نوجوان ہے ، تیری عمر کھیلنے کودنے کی ہے -
,کسی باغ میں جاؤ اور کسی درخت کے نیچے بیٹھ کر چندرکانتا یا بہرام_ڈاکو کو یا پریم_شاستر پڑھو ۔
pl,ماما ، تم ہمیشہ مجھے گندی باتیں سکھاتے ہو ۔
,گندی گندی باتیں ہم بھی عجیب ہیں ، مگر ہم نے کون سی گندی بات سکھائی ہے ۔
,تو تم نے پریم_شاستر کا نام کیوں لیا ؟
,ہم بھی عجیب ہیں ، پریم_شاستر تو کتاب کا نام ہے جسے سب نوجوان پڑھتے ہیں ۔
,اگر تمہیں نہیں پڑھنا تو نہ پڑھو لیکن یہاں کی گھٹی گھٹی ہوا سے باہر نکلو ۔
,بیٹا گھر کے پاس دریا کنارے باغ ہونے کا کیا فائدہ ۔
,باغ میں جاؤ اور تازہ تازہ ہوا کھا کر واپس آؤ ۔
,لیکن میں نے پیٹ - بھر کھانا جو کھایا ماما !
,میرے بھولے بھانجے تو بالکل بھولے کا بھولا ہے ۔
,چلنے پھرنے سے صحت بنتی ہے ۔
,بنتی بھی ہے اور بگڑتی بھی ہے ۔
,ارے نہیں بگڑتی ، ہم جو کہہ رہے ہیں ۔
,اچھی بات ہے ، اگر تم کہتے ہو تو میں جاتا ہوں ۔
,ابھی تک یہیں ہو ؟
,شاباش مچھلی وچھلی پکڑ کر لانا ، شاباش شاباش ۔
,پھنسی پھنسی کوئی موٹی تازی مچھلی پھنسی !
,ہندی کا پہلا فلمی رسالہ کون سا تھا ۔
,اس موضوع پر تنازعہ ہے ۔
,رام چند تیواری کے مطابق ہندی کی پہلی فلمی میگزین ` نوچترپٹ ` تھی جبکہ راجکمار جین کے مطابق ہندی کی پہلی فلمی میگزین ۱۹۳۱ میں اندور سے ` منچ ` شائع ہوئی تھی ۔
,اس دوران انگریزی میں متعدد فلمی میگزین نکلیں ۔
,ان میں ` فلم انڈیا ` ، ` ٹاکی ہیرالڈ ` ، ` روپ وانی ` ، ` دیپالی ` اور ` اسکرین ورلڈ ` کے نام قابلِ _ ذکر ہیں ۔
sg,بابوراو پٹیل نے ` فلم انڈیا ` کی اشاعت کے ساتھ فلمی رسالہ میں ایک نیا باب شروع کیا ۔
,اس بیچ دوسری عالمی_جنگ کے سبب فلمیں فوجیوں کی تفریح کا اہم ذریعہ بنیں ۔
,اس سے فلمی صنعت کی مالی حالت مستحکم ہوئی اور متعدد نئے سنیماگھر کھولے گئے ۔
,جنگ کے دوران ` رس بھری ` ، ` چترپرکاش ` ، ` کومدی ` سمیت متعدد فلمی رسائل شائع ہوئے لیکن جتنی تیزی کے ساتھ ان کی اشاعت شروع ہوئی اتنی ہی تیزی سے یہ معدوم بھی ہو گئیں ۔
sg,آزادی کے بعد ` یُگ چھایا ` ، ` فلم چتر ` اور ` چترلیکھا ` کی اشاعت شروع ہوئی ۔
sg,۱۹۴۸ میں کہانیکار ، کالم نویس اور فلم ہدایتکار خواجہ احمد عباس نے ممبئی سے ایک بڑی اچھی ادبی فلمی میگزین ` سرگم ` کی اشاعت شروع کی ۔
,اس وقت ہندی میں متعدد فلمی میگزین نکلتی ہیں ۔
,` اسٹارڈسٹ ` کا ہندی شمارہ مقبول رہا ہے ۔
,جبکہ ` فلم فیئر ` کی معاون ` مادھوری ` بند ہو گئی ۔
,` فلم فیئر ` اچھا منافع کماکر دے رہی ہے ۔
sg,` اسکرین ` میں بھی فلموں کے پیشہ_ورانہ تجارتی پہلو پر زیادہ مواد دیا جاتا ہے ۔
sg,اچھی فلمی میگزین کے فقدان کو جزوی طور سے روزانہ اخبار پورا کرتے ہیں ۔
sg,ہر اخبار ہفتہ میں کم سے کم دو صفحہ فلم اور ٹی_وی کو دیتا ہے ۔
,ہندی میں بچوں کی پہلی میگزین ۱۸۸۲ میں ` بال درپن ` شائع ہوئی ۔
,یہ زیادہ وقت تک نہیں چلی ۔
