,person,sentences
1498,3,ఇంతలో రాజుగారి సైనికులు అక్కడికి చేరుకున్నారు .
1499,3,నింపితే దాణా వృధా అవుతుంది .
1500,3,పగ రాజు పారిపోయాడని తెలిసి రాజుగారు సంతోషించారు .
1501,3,ఆయన సంతోషం అంతా కాదు .
1502,,కేరళ రాష్ట్రంలో ఇటీవలి కాలం మాతృస్వామ్యం ఆచారంలో ఉండేది .
1503,,ఇలాంటి డీప్_లిట్టర్ పద్ధతి చాలా అనువైనది NULL .
1504,3,అయినా చాలామంది దీనిని వదిలేశారు .
1505,3,కొద్ది మంది ఈ పద్ధతిలో ఇంకా కోళ్లను పెంచుతున్నారు .
1506,3,ఈ పద్ధతిలో ఇనుప బోనులు వరుసగా ఉంటాయి .
1507,any,"గూడు కొంచెం పెద్దదయితే 3 NULL , 4 కోళ్లు ఉంచవచ్చు ."
1508,any,ఎవ్వరూ ఇందులో అడుగైనా పెట్టగూడదు .
1509,3,చుట్టూ వైర్_మెష్ ఉంటుంది .
1510,any,ఊచలు ఊడిపోకూడదు .
1511,3,పనులకి ఎక్కువ మంది అవసరం ఉండదు .
1512,3,స్థలం కలిసి వస్తుంది .
1513,3,కోళ్లు ఒకదానినొకటి పొడుచుకోవు .
1514,any,నీళ్లు తెచ్చుకొనే ఆడవాళ్ల సిమెంటుతో మెట్లు కట్టించాలి .
1515,any,తీసివేయవచ్చు .
1516,3,దీనివల్ల రోగాలు అదుపులో ఉంటాయి .
1517,any,కోడిగుడ్లు అప్పుడప్పుడు కొద్దిగా చిట్లవచ్చు .
1518,,ఇది కొంత శ్రమతో కూడిన పని NULL .
1519,3,కోళ్లు ఒక్క పక్కకి ఒరిగిపోతాయి .
1520,3,కోళ్ల కాలేయంలో కొవ్వు పెరుగుతుంది .
1521,3,దీనివల్ల గుడ్ల దిగుబడి తరిగిపోతుంది .
1522,3,మంచి కోడి ఎలా ఉంటుంది ?
1523,any,అవేవో తెలుసుకొంటే అలవాటు ప్రకారం మంచికోడిని గుర్తించవచ్చు .
1524,any,కోడి హుషారుగా శక్తివంతంగా ఉండాలి .
1525,any,రెట్ట రంధ్రం చెమ్మగా వెడల్పుగా ఉండాలి .
1526,any,గుడ్లు పెద్దవిగా ఉండాలి .
1527,3,మంచికోడి సంవత్సరానికి సుమారు 260 గుడ్లు పెడుతుంది .
1528,any,ఇక గుడ్లనుంచి వచ్చిన పిల్లలు త్వరగా ఎదగాలి .
1529,any,పశువులు దిగకుండా ఉండేందుకు చుట్టూ కంచె వేయించాలి .
1530,3,గుడ్లు పొదుగుతున్నట్లే ఉండిపోతాయి .
1531,any,వాటికి తగిన ఇంజక్షన్లు ఇవ్వాలి .
1532,3,లేకపోతే ఆ కోడి ఇంక గుడ్లకు పనికిరాదు .
1533,any,వీటి శరీరం త్వరగా ఎదగాలి .
1534,any,ఎవరి పశువుల ఐనా దిగితే జరిమానా వెయ్యాలి .
1535,any,ఛాతీభాగం విశాలంగా ఉండాలి .
1536,,కొన్ని రకాల కోళ్లు రెండిటికి వీలయినవే NULL .
1537,3,కానీ వాటిని పెంచడానికి చాలామంది ఇష్టపడరు .
1538,,సాధారణంగా ఇది తల్లి పని NULL .
1539,3,కానీ ఈ రోజుల్లో తల్లి అవసరం లేదు .
1540,3,పొదగడానికి ప్రత్యేక పరికరాలు ఉన్నాయి .
1541,,ఇది ఒక యంత్రంలాంటిది NULL .
1542,3,అవి పిల్లలను పొదిగే కేంద్రాలలో ఉంటాయి .
1543,3,ఈ కేంద్రంలో పెంచడానికి వేరే బ్రూడర్ అనే యంత్రం ఉంటుంది .
1544,3,పిల్లలు చనిపోవడం ఉండదు .
1545,any,గద్దలు ఎత్తుకొనిపోవు .
1546,any,ఎవ్వరూ ఆ మడుగు దగ్గరగా దొడ్డికి పోకుండా చూడాలి .
1547,any,ముందు మూడు రోజులు దానిలో వెచ్చగా ఉండాలి .
1548,any,అంటే గోరువెచ్చని నీటి వేడి ఉండాలి .
1549,,ఒక నెల రోజుల్లో మామూలు వేడి ఉంటేచాలు .
1550,3,ప్రత్యేకంగా వేడి కల్పించనవసరం లేదు .
1551,any,మొత్తానికి కోడి పిల్లలకి ఆరోగ్యం బాగుండాలి .
1552,any,ఆ వాతావరణం కల్పించాలి .
1553,any,దొడ్డికి దూరంగా కూచున్నా అక్కడి వాననీళ్లు మడుగులోకి రాగూడదు .
1554,3,ఆవిధంగా కోళ్లకు రోగాలు రావు .
1555,3,వేరే కోళ్లను పీకుతూ పొడుస్తూ ఉంటాయి .
1556,any,ఇతరత్రా ఉపయోగించుకోవాలి .
1557,any,ముఖ్యంగా మాంసానికి అమ్మేయాలి .
1558,,మడుగు చుట్టూ అంతా కంచె వెయ్యడం కష్టమే NULL .
1559,3,దీనివల్ల ఆహారం తీసికోడానికి వాటికి ఇబ్బంది ఉండదు .
1560,any,ఎదుగుతున్న పిల్లల్లో 21 రోజు ఒకసారి ఇలా కత్తిరించాలి .
1561,,అన్ని కట్టుబాట్లు చెయ్యడం మరీ కష్టమే NULL .
1562,,మనకి లాభం NULL .
1563,3,అంటే ఏడాదికి ఒక కోడికి ఐదు గుడ్లు ఎక్కువగా వస్తాయి .
1564,3,ఇలా కంకాలని కత్తిరించడం డుబ్బింగ్ అంటారు .
1565,3,రెట్ట రంధ్రంలోనుంచి గుడ్లు పెట్టే కాలవ బయటికి వస్తుంది .
1566,3,మిగతా కో్లు దీనిని పట్టి పీకుతాయి .
1567,any,మెయ్య కోళ్లను వేరుగా పెంచాలి .
1568,3,రాజకీయ బాధ్యతలు ఆమె తప్పించాడు .
1569,3,పత్రికలలో ఆడవారికి మగవారితో బాటు సమాన హోదా కల్పించాలిఅని వార్తలు వస్తున్నాయి .
1570,3,వత్తిడి శరీర వేడిలో హెచ్చుతగ్గులు వస్తాయి .
1571,any,వాటిని కోడి సర్దుబాటు చేసుకోవాలి .
1572,3,దీనికి చాలా శక్తి ఖర్చు అయిపోతుంది .
1573,3,గుడ్లు పెట్టే శక్తి తిరిగిపోతుంది .
1574,,నాటుకోళ్లు గుడ్లు తక్కువ పెట్టడానికి కారణం NULL .
1575,3,వత్తిడికి కారణాలు ఉన్నాయి .
1576,any,వాతావరణం చక్కగా ఉండాలి .
1577,3,ఇంత చేసినా ఆ నీళ్లు చెడిపోవని నమ్మకం లేదు .
1578,any,ప్రకృతి వాతావరణం వాటికి చికాకు కలిగించవచ్చు .
1579,3,ఎండ తీవ్రంగా కాస్తుంది .
1580,3,లేదా చలి ఎక్కువగా ఉంటుంది .
1581,3,వాటి ప్రభావం కోళ్ల పడుతుంది .
1582,3,వత్తిడి ఎక్కువ అవుతుంది .
1583,,అందువల్ల మరుగుదొడ్లు కట్టుకోవడం అన్నిటికంటే మంచిది NULL .
1584,any,మండు వేసవిలో పాకలో చల్లగా ఉండాలి .
1585,3,దీనికి ప్రత్యేకంగా పరికరాలు ఉన్నాయి .
1586,3,వీటిని స్ప్రింకర్లు అంటారు .
1587,any,అమ్మకాలు బాగా జరిగే వీలుండాలి .
1588,3,అయితే ఇది చాలా మందికి ఇష్టం ఉండదు .
1589,any,సరుకు చెడిపోవచ్చు .
1590,any,అలాగని కోళ్ల పాకలు ఊరి మధ్యలో ఉండకూడదు .
1591,,జనావాసాలకు దూరంగా ఉండాలి పట్టణ శివార్లు మంచి స్థలాలు NULL .
1592,,తొందరగా జరిగే పనీ గాదు .
1593,3,రెండు రకాల కోడి పిల్లలను సరఫరా చేస్తారు .
1594,3,పెంపంకంలో సాధారణంగా రెండిటికి ఒకే జాగ్రత్తలు అవసరమవుతాయి .
1595,any,మరేం చెయ్యాలి ?
1596,3,ఉంటే పోట్లాటలు తగవులు ఎక్కువవుతాయి .
1597,3,ఆ పెరుగుదల లేకపోతే అవి పనికిరావు .
1598,3,మేత ఎక్కువ ధర తక్కువ అవుతాయి .
1599,3,ఒక ఉపాయం ఉంది .
1600,3,ఆహార విషయంలో ఒక ముఖ్యవిషయం ఉంది .
1601,3,అన్ని వయసులలోనూ ఒకే మేత పనికిరాదు .
1602,,అయినా కోళ్ల పెంపకమే ఎక్కువ లాభదాయకం NULL .
1603,any,ఒక నీళ్ల తొట్టి కట్టుకోవాలి .
1604,3,కోడి పెంపకం ఒక వినోదంగా ప్రారంభమయింది .
1605,3,ఇది మన దేశంలోనే మొదట జరిగింది .
1606,,కుక్క రాత్రిపూట కాపలా కాసేది .
1607,,ఇది ఉదయాన్నే నిద్ర లేపించేది .
1608,3,క్రమంగా మానవుడు కోడిమాంసం గుడ్డు ఉపయోగం తెలుసుకొన్నాడు .
1609,3,అవి తన ఆహారంలో భాగం అయ్యాయి .
1610,3,మనరాష్ట్రంలో రోజుకి ఒకటిన్నర కోట్ల గుడ్లు ఉత్పత్తి అవుతున్నాయి .
1611,any,సంవత్సరానికి 600 కోట్ల గుడ్లు అనాలి .
1612,any,ఆ తొట్టిలో మడుగునుంచి రోజూ పొద్దున నీళ్లు నింపుకోవాలి .
1613,3,అంటే దేశం ఉత్పత్తిలో నాలుగవవంతు మనరాష్ట్రంలోనే ఉత్పత్తి అవుతున్నాయి కదా .
1614,3,ఇందులో మన రాష్ట్రం ముందుంజ వేసింది .
1615,,ఐతే ప్రపంచంలో మన దేశానిది నాలుగోస్థానం NULL .
1616,,ప్రోటీన్లు 13 శాతం NULL .
1617,,కొవ్వు 13 శాతం NULL .
1618,,కెలొరీ శక్తి ఎక్కువే NULL .
1619,3,ఖనిజ లవణాలు చాలా ఉంటాయి .
1620,,కోడి మాంసంలో ప్రోటీన్లు 26 శాతం NULL .
1621,3,కొవ్వు తక్కువగా ఉంటుంది .
1622,any,అందులో సరిపడా బ్లీచింగు పౌడరు కలపాలి .
1623,3,ఖనిజ లవణాలు పుష్కలంగా ఉంటాయి .
1624,,కానీ .
1625,,ఇది ఒక విశేషం NULL .
1626,,అదే మంచినీళ్లకు ఆధారం NULL .
1627,3,తెల్లలెగ్_హార్న్ అందరి అభిమానాన్ని పొందింది .
1628,,అంటే సుమారు 0.4 స్థలం NULL .
1629,any,మొత్తానికి ఒక పాకలో 250 ఎక్కువ కోళ్లు ఉంచకూడదు .
1630,any,మిగతా పనులకు మడుగు నీళ్లు నేరుగా వాడుకోవచ్చు .
1631,any,25 కోళ్లు ఉంటే 9 లేదా 10 స్థలం కావాలి .
1632,,అంటే 100 చదరపు అడుగులు NULL .
1633,any,కేజ్ విధానంలో 25 కోళ్లను పెంచడానికి 75ద్120 బోను ఉండాలి .
1634,,అంటే గోరువెచ్చని నీరులాంటి వేడి NULL .
1635,3,అంటే 21 తగ్గుతుంది .
1636,,ఇది మామూలుగా ఉండే వాతావరణ చల్లదనం NULL .
1637,3,35 ఎక్కువయితే బల్బుల దూరంగా పోతాయి .
1638,3,పిల్లలు అటూ ఇటూ చెదిరిపోయినా ఇది అడ్డుపడుతుంది .
1639,3,ఆ స్త్రీ చేతులు ఇప్పుడు మళ్లీ అధికారం చూపించనున్నాయి .
1640,3,9 వారాల తరువాత బల్బుల అవసరం ఉండదు .
1641,,కోళ్ల ఆహారం NULL .
1642,3,అన్ని వయసులవాటికి ఒకే మేత పనికిరాదు .
1643,3,మూడో రోజు రెండు నెలలవరకు చిక్_మాష్ ఇస్తారు .
1644,3,ఇందులో 20 శాతం ప్రొటీన్లు ఉంటాయి .
1645,3,ఇందులో 16 శాతం ప్రొటీన్లు ఉంటాయి .
1646,3,బ్రాయిలర్ విషయంలో కొంచెం తేడా ఉంటుంది .
1647,any,ఏడోవారానికి దాని బరువు ఒకటిన్నర కిలోలు ఉండాలి .
1648,,దీనిలో ప్రోటీన్లు తక్కువ NULL .
1649,any,మరి వాళ్లే జాగ్రత్తలు తీసుకోవాలి ?
1650,3,పిండిపదార్థాలు ఎక్కువ ఉంటాయి .
1651,3,ఎనిమిది వారాలకు వాటి బరువు ఎక్కువ అవుతుంది .
1652,3,ఆ తరువాత అవి ఎదగవు .
1653,any,అందువల్ల వాటిని అమ్మేయాలి .
1654,3,లేకపోతే మేత వృధా అవుతుంది .
1655,any,"ఐతే , రోగాల విషయంలో ప్రత్యేక శ్రద్ధ తీసికోవాలి ."
1656,3,లేకపోతే శ్రమ వృధా అవుతుంది .
1657,3,విపరీతమైన నష్టం వస్తుంది .
1658,any,బావిలో క్లోరిన్ కలపొచ్చు .
1659,,మొదటి 15 రోజుల్లో కోడిపిల్లలకి వ్యాధులు రావడానికి అవకాశాలు ఎక్కువ NULL .
1660,3,రాకుండా కాపాడుకొనే శక్తి పిల్లలకి అంతగా ఉండదు .
1661,3,ఇతర కోళ్లకి దూరంగా పోతాయి .
1662,3,చూపు మందగిస్తుంది .
1663,any,ఒకామెకు మెళకువులు నేర్పాలి .
1664,3,ఊపిరి కష్టం అవుతుంది .
1665,3,పిల్లల ఐతే నిలబడలేవు .
1666,3,దోమలు ఈ వ్యాధిని వ్యాప్తి చేస్తాయి .
1667,,క్లోరిన్ బావిలో కలపడం ఆమె పని NULL .
1668,3,నోటిలోనుంచి ఊపిరి పీలుస్తాయి .
1669,3,పెద్దవి సరిగా గుడ్లు పెట్టవు .
1670,3,పిల్లలు చచ్చిపోతాయి .
1671,3,గుడ్ల దిగుబడి తగ్గిపోతుంది .
1672,3,ఎక్కువగా చచ్చిపోతాయి .
1673,3,అయితే ఇది కొంతమేరకే పని చేస్తుంది .
1674,3,మేత తీసుకోవు .
1675,3,తెల్లటి పల్చని విరోచనాలు అవుతాయి .
1676,3,కోళ్లు వణుకుతాయి .
1677,3,ఈ దిగువ నాలుగు బాక్టీరియా వ్యాధులు బాక్టీరియా క్రిముల వస్తాయి .
1678,3,దాణా తీసుకోవు .
1679,3,కోళ్లు ఎక్కువగా చనిపోతాయి .
1680,,ఒక తొట్టిలో నీళ్లు తోడి అందులో క్లోరిన్ కలపడం మరీ మంచిపని NULL .
1681,any,మరి వాళ్లు ఏ జాగ్రత్తలు తీసుకోవాలి ?
1682,3,మేత తినవు .
1683,3,చెడువాసనతో ముక్కు కారుతుంది .
1684,3,కళ్లు అతుక్కొని పోతాయి .
1685,3,మోహం ఉబ్బిపోతుంది .
1686,3,గురక వస్తుంది .
1687,3,ముక్కులో చీము కారుతుంది .
1688,3,ఇతర రోగాలతోబాటు ఇది సులభంగా వస్తుంది .
1689,3,రెక్కలు వాలిపోతాయి .
1690,3,తల్లినుంచి గుడ్లద్వారా ఈ వ్యాధి పిల్లలకి వస్తుంది .
1691,3,తెల్లని విరోచనాలు అవుతాయి .
1692,3,వాటివల్ల ఇది వ్యాప్తి చెందుతుంది .
1693,,ఇవి మంచివి గావు .
1694,3,తీవ్రంగా జ్వరం వస్తుంది .
1695,3,ఆకుపచ్చ విరోచనాలు అవుతాయి .
1696,,దాహం పక్షవాతం ఇతర లక్షణాలు NULL .
1697,3,మందులు వాడితే చచ్చిపోయి రెట్టతో బయటపడతాయి .
1698,3,దీనిని డీవార్మింగ్ అంటారు .
1699,3,చిన్న పిల్లలకి బ్రూడర్ దశలో వస్తుంది .
1700,3,చిన్న కోళ్లలో ఈ జబ్బు వస్తుంది .
1701,3,పిల్లలు ఒకచోట చేరతాయి .
1702,3,మనుషులు అపరిశుభ్రంగా వెళ్లినా వస్తుంది .
1703,3,ఇవికాక శరీరం పేలు మిన్నల్లులు వంటివి పట్టి వాటికి చికాకు చేస్తాయి .
1704,3,పోషణ లోపం తగిన విటమినులు అందక వ్యాధులు వస్తాయి .
1705,3,వీటిని పోషకలోపవ్యాధులు అంటారు .
1706,,ఖనిజ లవణాఅలు లోపించినా అంతే NULL ! ఏదయినా వ్యాధినిరోధక చర్యలు చాలా ముఖ్యం NULL .
1707,any,రోగాలు వచ్చాక అదుపుకార్యక్రమాలు తీసుకోవచ్చు .
1708,any,బావికి బాగా ఎండ తగలాలి .
1709,3,కాని అప్పటికే చాలా నష్టం జరిగిపోతుంది .
1710,2,ఇంకా మీ ప్రాంతంలోని బ్యాంక్ను సంప్రదించండి .
1711,3,దీనివల్ల నీళ్లు శుభ్రపడతాయి .
1712,any,బావిని శుభ్రంగా ఉంచుకోవాలి .
1713,,దీనికి మరిన్ని జాగ్రత్తలు అవసరం NULL .
1714,any,బావి ఎక్కడ ఉండాలి ?
1715,3,మారుతున్న వాతావరణం గ్రామంలోని ఆడవాళ్లను ఎక్కువగా కష్టపెడుతోంది .
1716,,మడుగు నీళ్లు శుభ్రంగా ఉంచుకోవడం చాలా కష్టం NULL .
1717,,మెరకలో ఉండటం మరీ మంచిది NULL .
1718,,"తమ గ్రామానికి అవసరమైన వంటచెరకు చెట్లు NULL , పశువులకు గడ్డి పెంచుకోవచ్చు ."
1719,any,దానికి సిమెంటు పూత పూయాలి .
1720,,కాంక్రీటు వరలు మంచిదే NULL .
1721,any,ఆ పగుళ్లకు సిమెంటు పూయాలి .
1722,any,రిపేరులు చెయ్యాలి .
1723,,ఆ మడుగు దగ్గరే ఓ బావి తవ్వించుకోడం మంచిది NULL .
1724,3,అప్పుడు బయటనుంచి వచ్చే నీళ్లు వడకట్టినట్టు శుభ్రంగా వస్తాయి .
1725,1,ఇంత జేసినా ఈ నీళ్లు పూర్తిగా శుభ్రంగా ఉంటాయని చెప్పలేం .
1726,any,అందువల్ల మరికొన్ని జాగ్రత్తలు తీసుకోవాలి .
1727,3,విడిపోయేవారి సమాజం పెద్దగా పట్టించుకోవడం లేదు .
1728,any,దీనివల్ల బయటి నీళ్లు బావిలోకి పోవు .
1729,3,విడిగా జీవించాలని కోరుకుంటున్నారు .
1730,3,అయితే విడాకుల భార్య ఎక్కువగా నష్టపోతుంది .
1731,,గవర్నమెంటును అడిగి ఓ చేతి పంపు వేయించుకొంటే మరీ మంచిది NULL .
1732,any,కారణం ఆమెకు ఆర్థికపరమైన స్వతంత్రం లేకపోవడం .
1733,any,కింది వర్గంలో భార్యా భర్తలు ఇద్దరూ కూలి చేసుకొనే బతుకుతూ ఉంటారు .
1734,,ఇద్దరి సంపాదనా దాదాపు సమానమే NULL .
1735,3,అలాంటివారు విడిపోయినా ఆర్థికపరమైన ఇబ్బందులు వారిని బాధించవు .
1736,3,పై వర్గంలో వారికి డబ్బు సమస్య రాదు .
1737,3,ఇద్దరికీ డబ్బు వెసలుబాటు ఉంటుంది .
1738,3,అని నేను అంటే నా మాట వినడు .
1739,any,రాజుగారికి దిక్కు తోచలేదు . .
1740,,కానీ ఇది అంత తొందరలో జరిగే పనేనా ?
1741,,వీరికి సమస్యలు ఎక్కువ NULL .
1742,,ఈ సమస్యలలో చాలా ముఖ్యమైనది పిల్లల పెంపకం NULL .
1743,any,తల్లిదండ్రులు విడిపోతే పిల్లల బాధ్యత ఎవరు చూసుకోవాలి ?
1744,,కారం గడుక గంజి అంబలి NULL .
1745,any,కనీసం పిల్లలు మానసికంగా ఎదిగి స్థిరపడేవరకయినా తల్లిదండ్రులు కలసి ఉండాలి .
1746,3,మనదేశంలో హిందూ వివాహ చట్టం క్రింద 1955వ సంవత్సరంలో విడాకులను చట్టబద్ధం చేశారు .
1747,3,వాళ్లయ్యతో కొంతమంది బడిలో చేరారు .
1748,3,మూడునాలుగేళ్ళలో అందరూ మానేశారు .
1749,,ఇంటి చాకిరీతో వాళ్లకు సరిపొయ్యేది .
1750,any,కొంతమందిన ఐతే ఇల్లు దాటి రానివ్వడంలేదు .
1751,3,గడప దాటితే ఆడిపిల్లలు చెడిపోతారట .
1752,,అందరం కలిసి ఆడుకొనేవాళ్లం .
1753,,చెట్లు ఎక్కి చింతచిగురు కోసేవాళ్లం .
1754,,కొమ్మలమీద ఉయ్యాల ఊగేవాళ్లం .
1755,,ఐతే వాళ్లకంటే నేనే మేలు NULL .
1756,3,భయంతో వణికిపోయింది .
1757,1,ఆడుకొంటాను .
1758,1,పిచ్చి పాటలు పాడుకొంటాను .
1759,,మేము పేదవాళ్లం NULL .
1760,3,గడప దాటకుంటే మాకు ఎలా పూట గడుస్తుంది ?
1761,3,సినిమాలకు పోతున్నారు .
1762,3,నడిరాత్రికి ఇంటికి వస్తున్నారు .
1763,2,మరి వాళ్లు చెడిపోరా ?
1764,3,లోలోపలే కన్నీళ్లు మింగేసింది .
1765,any,అది నాకు అర్థం కావడంలేదు .
1766,1,నేను పెద్దమనిషిని అయ్యాను .
1767,,కొత్త పైటా పావడా కొనిచ్చారు .
1768,3,అమ్మలక్కలు వచ్చారు .
1769,3,అవీఇవీ తినిపించారు .
1770,3,అప్పటినుంచీ మా అమ్మకు దిగులు పట్టుకుంది .
1771,3,మా నాయనను తొందరపెట్టసాగింది .
1772,3,పెళ్లిసంబంధాలు వెతకమని పోరుపెట్టసాగింది .
1773,3,నన్ను గుండెలకు అదుముకొనింది .
1774,3,తొందరగా వదిలించుకోవాలని చూస్తున్నారు .
1775,3,మా అక్కల పెళ్లిళ్లకు మా నాయన ఎకరాపొలం అమ్మాడు .
1776,3,నాకోసం మిగతాఎకరం అమ్మాలని చూస్తున్నాడు .
1777,3,నాకు పెళ్లి భయం పట్టుకొనింది .
1778,,మా ఎదురింటి సుజాత నాకంటె నాలుగేళ్లు పెద్ద NULL .
1779,3,దానికి రెండేళ్లముందు పెళ్లయింది .
1780,3,మనిషి చచ్చి బతికింది .
1781,,ఇప్పుడు దాని బిడ్డకు ఒకటేరోగాలు NULL .
1782,3,నేను పుట్టానని మా నాయనకు తెలిసింది .
1783,3,వాడితో ఏగలేక మనిషి ఎముకల గూడులాగా మారింది .
1784,3,మా పెద్దనాయన కూతురు గౌరికి పోయిన ఏడాది పెళ్లి చేశారు .
1785,,ఇల్లు గుల్ల చేసుకొని అప్పులపాలయ్యారు .
1786,3,మొగుడు చూడడానికి బాగానే ఉంటాడు .
1787,3,పుట్టెడు శోకంతో ఆ పిల్ల వచ్చేసింది .
1788,3,ఒకసారి బావిలో దూకి చావడానికి పూనుకొనింది .
1789,3,అందుకే పెళ్లంటే నాకు భయంగా ఉంది .
1790,3,ఇలా ఉండగా అక్షరదీపం వచ్చింది .
1791,3,ఊళ్లో నాటకాలు వేశారు .
1792,any,అయినా నన్ను చూడడానికి రాలేదు .
1793,3,వాటిని ఆడవాళ్లు విరగబడి చూచారు .
1794,1,అవి ఎంత బాగున్నాయో చెప్పలేను .
1795,3,అచ్చం మా బతుకుల్నే చూపించారు .
1796,3,ఇల్లాలు చదివితే ఇల్లి అంతా చదివినట్టే అని చెప్పారు .
1797,3,నాలుగు అక్షరాలు నేర్పించేదిగదా అనిపించింది .
1798,3,తరువాత ఊళ్లో రాత్రి బడులు పెట్టారు .
1799,3,మా టీచరమ్మ మా ఇంటికి వచ్చింది .
1800,3,మా తమ్ముడిని వాలంటీరుగా చేరమని అడిగింది .
1801,3,వాడు సరే అన్నాడు .
1802,3,మా ఇంటిముందరే లైటు వేశారు .
1803,3,అందరికీ పలక బలపాలు వాచకాలు ఇచ్చారు .
1804,3,ఊరంతా చదువుల సంతలాగా మారిపోయింది .
1805,1,నేనూ రాత్రి బడికి పోతానని మా అమ్మను అడిగాను .
1806,any,ఆమె కాదనలేదు .
1807,3,మా తమ్ముడు చదువు చెప్పడం మా నాయనకు పెద్ద గొప్పగా అనిపించింది .
1808,3,రాత్రి బడుల్లో ఆడవాళ్లు విపరీతంగా చేరారు .
1809,3,మధ్యలో బడి మానేసినవాళ్లుకూడా చేరారు .
1810,3,బిడ్డతల్లులుకూడా పలకాబలపం పట్టారు .
1811,any,ఎందుకో తెలుసా ?
1812,3,లోకం మారిపోయింది అంటూ అందరూ అనుకోసాగారు .
1813,1,పగలు తీరిక ఉన్నప్పుడు ఇంట్లో కూడా చెప్పించుకొన్నాను .
1814,3,నాలో పట్టుదల పెరిగింది .
1815,3,చదువులో మాకు చాలా సంగతులు తెలిశాయి .
1816,any,లోకం తెలిసే వయసు రావాలి .
1817,any,పిల్లలను కనడానికి శక్తి రావాలి .
1818,,కట్నం ఇవ్వడం నేరం NULL .
1819,3,తీసుకోవడం అని ఒక పాఠంలో ఉంది .
1820,3,మగవాళ్లలాగా పొలం పనులు చేస్తున్నారు .
1821,3,సంసారాలు నడుపుతున్నారు .
1822,3,టవున్లలో ఆడవాళ్లు సైకిళ్లు తొక్కుతున్నారు .
1823,3,కార్లు నడుపుతున్నారు .
1824,3,ఒకప్పుడు ఆడవాళ్లు రాజ్యాలు ఏలారు .
1825,3,యుద్ధాలు చేశారు .
1826,3,ఇప్పుడుకూడా మిలటరీలో ఆడవాళ్లు ఉన్నారు .
1827,3,పోలీసుల్లో ఆడవాళ్లు ఉన్నారు .
1828,,ఆడామగా పనిలో సమానం NULL .
1829,,తెలివిలో సమానం NULL .
1830,,పైగా బిడ్డల్ని కనేది తల్లి NULL .
1831,,పెంచేది తల్లి NULL .
1832,3,ఆమె లేకుంటే లోకమే లేదు .
1833,3,మరి ఆడపిల్లను తక్కువగా ఎందుకు చూస్తారు ?
1834,3,మగపిల్లలలాగా ఎందుకు చదివించరు .
1835,3,పరాయిదాన్నిలా ఎందుకు లెక్క వేస్తారు ?
1836,1,ఇవన్నీ మేము మాట్లాడుకొన్నాము .
1837,,అందులో ఇవన్నీ వచ్చేవి .
1838,,ఆ కోపంతో మా అమ్మమీద మండిపడేవాడు .
1839,,నేను ఆడపిల్లను NULL .
1840,,మాలో ఎన్నో ఆలోచనలు రేగేవి .
1841,3,మాకు కొత్త లోకం కనిపించసాగింది .
1842,3,ఆరు నెలలు గడిచాయి .
1843,1,నేను ఇప్పుడు బాగా చదవగలను .
1844,3,చాలా సంగతులు నాకు తెలిసాయి .
1845,,ఎవరి కన్నీళ్లు వాళ్లు మింగేవాళ్లం .
1846,1,ఆడవాళ్లం ఒకచోట రోజూ చేరాం .
1847,1,మా కష్టాలు ఒకరితోఒకరం చెప్పుకొన్నాం .
1848,1,కలిసి మాట్లాడుకొన్నాము .
1849,,నామీద మండిపడేవాడు .
1850,3,మాలాగా జిల్లాఅంతా లక్షలు ఆదిమంది చదువుకొన్నారట .
1851,,చదువుకొన్న వాళ్లలో ఆడవాళ్లే ఎక్కువ NULL .
1852,,చదువుకొన్న ఆడవాళ్లు చాలా ఊళ్లలో సారాయిఅంగళ్లు మూసివేయించారట .
1853,,కొన్ని చోట్ల మగవాళ్లకు సమానంగా కూలి సాధించకొన్నారట .
1854,3,ఇవన్నీ మాకు సెంటర్లలో తెలిశాయి .
1855,3,ఇప్పుడు మా ఊళ్లో జనచైతన్యకేంద్రాలు పెట్టారు .
1856,3,వాటిలో ఎన్నో మంచి విషయాలు ఉన్నాయి .
1857,3,వారంవాషం ఎన్నో సంగతులు చెబుతున్నారు .
1858,3,పాటలు పాడిస్తున్నారు .
1859,,పాపం ఇందులో మా అమ్మ తప్పేముంది ?
1860,3,పెద్దలచేత కొత్త విషయాలు చెప్పిస్తున్నారు .
1861,1,మేము ఇప్పుడు పేపరుకూడా చదువుతున్నాం .
1862,3,ఒక జిల్లాలో రాళ్లు కొట్టే ఆడవాళ్లు సొసైటీలు పెట్టుకొన్నారట .
1863,3,ఒకరికింద పని చెయ్యడం మానుకొన్నారట .
1864,1,ఇవన్నీ మేము పేపర్లో చదివి తెలుసుకొన్నాం .
1865,3,ఈమధ్య మా ఊరికి కలెక్టరు వచ్చాడు .
1866,1,ఆయనకు అందరం కలిసి అర్జీ పెట్టుకొన్నాం .
1867,1,ఊరికి కొళాయిలు కావాలని అడిగాం .
1868,3,ఆయన వీధికు ఒక బోరింగు వేయిస్తానని చెప్పాడు .
1869,,అంత పెద్ద అధికారిని చూడడం నాకు అదే మొదటిసారి
1870,,నా తప్పు ఏముంది ?
1871,1,ఇప్పుడు ఏ అధికారి వచ్చినా మాకు కావలసినవి అడుగుతున్నాం .
1872,1,ఏ అన్యాయం జరిగినా కలిసికట్టుగా ఎదిరిస్తున్నాం .
1873,3,ఇప్పుడు నేను ఒంటరిదాన్ని కాదు .
