 depth,sentences
4,దీనికి మరిన్ని జాగ్రత్తలు అవసరం NULL .
2,బావి ఎక్కడ ఉండాలి ?
3,మారుతున్న వాతావరణం గ్రామంలోని ఆడవాళ్లను ఎక్కువగా కష్టపెడుతోంది .
5,మడుగు నీళ్లు శుభ్రంగా ఉంచుకోవడం చాలా కష్టం NULL .
5,మెరకలో ఉండటం మరీ మంచిది NULL .
4,"తమ గ్రామానికి అవసరమైన వంటచెరకు చెట్లు NULL , పశువులకు గడ్డి పెంచుకోవచ్చు ."
3,దానికి సిమెంటు పూత పూయాలి .
3,కాంక్రీటు వరలు మంచిదే NULL .
3,ఆ పగుళ్లకు సిమెంటు పూయాలి .
2,రిపేరులు చెయ్యాలి .
6,ఆ మడుగు దగ్గరే ఓ బావి తవ్వించుకోడం మంచిది NULL .
5,అప్పుడు బయటనుంచి వచ్చే నీళ్లు వడకట్టినట్టు శుభ్రంగా వస్తాయి .
4,ఇంత జేసినా ఈ నీళ్లు పూర్తిగా శుభ్రంగా ఉంటాయని చెప్పలేం .
3,అందువల్ల మరికొన్ని జాగ్రత్తలు తీసుకోవాలి .
3,విడిపోయేవారి సమాజం పెద్దగా పట్టించుకోవడం లేదు .
3,దీనివల్ల బయటి నీళ్లు బావిలోకి పోవు .
3,విడిగా జీవించాలని కోరుకుంటున్నారు .
2,అయితే విడాకుల భార్య ఎక్కువగా నష్టపోతుంది .
6,గవర్నమెంటును అడిగి ఓ చేతి పంపు వేయించుకొంటే మరీ మంచిది NULL .
3,కారణం ఆమెకు ఆర్థికపరమైన స్వతంత్రం లేకపోవడం .
4,కింది వర్గంలో భార్యా భర్తలు ఇద్దరూ కూలి చేసుకొనే బతుకుతూ ఉంటారు .
4,ఇద్దరి సంపాదనా దాదాపు సమానమే NULL .
3,అలాంటివారు విడిపోయినా ఆర్థికపరమైన ఇబ్బందులు వారిని బాధించవు .
3,పై వర్గంలో వారికి డబ్బు సమస్య రాదు .
3,ఇద్దరికీ డబ్బు వెసలుబాటు ఉంటుంది .
3,అని నేను అంటే నా మాట వినడు .
2,రాజుగారికి దిక్కు తోచలేదు . .
4,కానీ ఇది అంత తొందరలో జరిగే పనేనా ?
2,వీరికి సమస్యలు ఎక్కువ NULL .
3,ఈ సమస్యలలో చాలా ముఖ్యమైనది పిల్లల పెంపకం NULL .
3,తల్లిదండ్రులు విడిపోతే పిల్లల బాధ్యత ఎవరు చూసుకోవాలి ?
4,కారం గడుక గంజి అంబలి NULL .
4,కనీసం పిల్లలు మానసికంగా ఎదిగి స్థిరపడేవరకయినా తల్లిదండ్రులు కలసి ఉండాలి .
6,మనదేశంలో హిందూ వివాహ చట్టం క్రింద 1955వ సంవత్సరంలో విడాకులను చట్టబద్ధం చేశారు .
2,వాళ్లయ్యతో కొంతమంది బడిలో చేరారు .
2,మూడునాలుగేళ్ళలో అందరూ మానేశారు .
3,ఇంటి చాకిరీతో వాళ్లకు సరిపొయ్యేది .
3,కొంతమందిన ఐతే ఇల్లు దాటి రానివ్వడంలేదు .
3,గడప దాటితే ఆడిపిల్లలు చెడిపోతారట .
3,అందరం కలిసి ఆడుకొనేవాళ్లం .
3,చెట్లు ఎక్కి చింతచిగురు కోసేవాళ్లం .
2,కొమ్మలమీద ఉయ్యాల ఊగేవాళ్లం .
2,ఐతే వాళ్లకంటే నేనే మేలు NULL .
2,భయంతో వణికిపోయింది .
2,ఆడుకొంటాను .
3,పిచ్చి పాటలు పాడుకొంటాను .
2,మేము పేదవాళ్లం NULL .
3,గడప దాటకుంటే మాకు ఎలా పూట గడుస్తుంది ?
2,సినిమాలకు పోతున్నారు .
2,నడిరాత్రికి ఇంటికి వస్తున్నారు .
2,మరి వాళ్లు చెడిపోరా ?
2,లోలోపలే కన్నీళ్లు మింగేసింది .
2,అది నాకు అర్థం కావడంలేదు .
2,నేను పెద్దమనిషిని అయ్యాను .
4,కొత్త పైటా పావడా కొనిచ్చారు .
2,అమ్మలక్కలు వచ్చారు .
2,అవీఇవీ తినిపించారు .
3,అప్పటినుంచీ మా అమ్మకు దిగులు పట్టుకుంది .
3,మా నాయనను తొందరపెట్టసాగింది .
3,పెళ్లిసంబంధాలు వెతకమని పోరుపెట్టసాగింది .
2,నన్ను గుండెలకు అదుముకొనింది .
3,తొందరగా వదిలించుకోవాలని చూస్తున్నారు .
4,మా అక్కల పెళ్లిళ్లకు మా నాయన ఎకరాపొలం అమ్మాడు .
3,నాకోసం మిగతాఎకరం అమ్మాలని చూస్తున్నాడు .
3,నాకు పెళ్లి భయం పట్టుకొనింది .
4,మా ఎదురింటి సుజాత నాకంటె నాలుగేళ్లు పెద్ద NULL .
2,దానికి రెండేళ్లముందు పెళ్లయింది .
3,మనిషి చచ్చి బతికింది .
3,ఇప్పుడు దాని బిడ్డకు ఒకటేరోగాలు NULL .
3,నేను పుట్టానని మా నాయనకు తెలిసింది .
3,వాడితో ఏగలేక మనిషి ఎముకల గూడులాగా మారింది .
5,మా పెద్దనాయన కూతురు గౌరికి పోయిన ఏడాది పెళ్లి చేశారు .
3,ఇల్లు గుల్ల చేసుకొని అప్పులపాలయ్యారు .
2,మొగుడు చూడడానికి బాగానే ఉంటాడు .
3,పుట్టెడు శోకంతో ఆ పిల్ల వచ్చేసింది .
4,ఒకసారి బావిలో దూకి చావడానికి పూనుకొనింది .
2,అందుకే పెళ్లంటే నాకు భయంగా ఉంది .
3,ఇలా ఉండగా అక్షరదీపం వచ్చింది .
2,ఊళ్లో నాటకాలు వేశారు .
3,అయినా నన్ను చూడడానికి రాలేదు .
2,వాటిని ఆడవాళ్లు విరగబడి చూచారు .
3,అవి ఎంత బాగున్నాయో చెప్పలేను .
4,అచ్చం మా బతుకుల్నే చూపించారు .
4,ఇల్లాలు చదివితే ఇల్లి అంతా చదివినట్టే అని చెప్పారు .
4,నాలుగు అక్షరాలు నేర్పించేదిగదా అనిపించింది .
3,తరువాత ఊళ్లో రాత్రి బడులు పెట్టారు .
3,మా టీచరమ్మ మా ఇంటికి వచ్చింది .
4,మా తమ్ముడిని వాలంటీరుగా చేరమని అడిగింది .
2,వాడు సరే అన్నాడు .
3,మా ఇంటిముందరే లైటు వేశారు .
3,అందరికీ పలక బలపాలు వాచకాలు ఇచ్చారు .
3,ఊరంతా చదువుల సంతలాగా మారిపోయింది .
4,నేనూ రాత్రి బడికి పోతానని మా అమ్మను అడిగాను .
2,ఆమె కాదనలేదు .
4,మా తమ్ముడు చదువు చెప్పడం మా నాయనకు పెద్ద గొప్పగా అనిపించింది .
3,రాత్రి బడుల్లో ఆడవాళ్లు విపరీతంగా చేరారు .
4,మధ్యలో బడి మానేసినవాళ్లుకూడా చేరారు .
2,బిడ్డతల్లులుకూడా పలకాబలపం పట్టారు .
2,ఎందుకో తెలుసా ?
4,లోకం మారిపోయింది అంటూ అందరూ అనుకోసాగారు .
3,పగలు తీరిక ఉన్నప్పుడు ఇంట్లో కూడా చెప్పించుకొన్నాను .
2,నాలో పట్టుదల పెరిగింది .
3,చదువులో మాకు చాలా సంగతులు తెలిశాయి .
4,లోకం తెలిసే వయసు రావాలి .
3,పిల్లలను కనడానికి శక్తి రావాలి .
3,కట్నం ఇవ్వడం నేరం NULL .
3,తీసుకోవడం అని ఒక పాఠంలో ఉంది .
3,మగవాళ్లలాగా పొలం పనులు చేస్తున్నారు .
2,సంసారాలు నడుపుతున్నారు .
2,టవున్లలో ఆడవాళ్లు సైకిళ్లు తొక్కుతున్నారు .
2,కార్లు నడుపుతున్నారు .
2,ఒకప్పుడు ఆడవాళ్లు రాజ్యాలు ఏలారు .
2,యుద్ధాలు చేశారు .
2,ఇప్పుడుకూడా మిలటరీలో ఆడవాళ్లు ఉన్నారు .
2,పోలీసుల్లో ఆడవాళ్లు ఉన్నారు .
2,ఆడామగా పనిలో సమానం NULL .
2,తెలివిలో సమానం NULL .
3,పైగా బిడ్డల్ని కనేది తల్లి NULL .
2,పెంచేది తల్లి NULL .
3,ఆమె లేకుంటే లోకమే లేదు .
2,మరి ఆడపిల్లను తక్కువగా ఎందుకు చూస్తారు ?
2,మగపిల్లలలాగా ఎందుకు చదివించరు .
2,పరాయిదాన్నిలా ఎందుకు లెక్క వేస్తారు ?
2,ఇవన్నీ మేము మాట్లాడుకొన్నాము .
2,అందులో ఇవన్నీ వచ్చేవి .
3,ఆ కోపంతో మా అమ్మమీద మండిపడేవాడు .
2,నేను ఆడపిల్లను NULL .
3,మాలో ఎన్నో ఆలోచనలు రేగేవి .
3,మాకు కొత్త లోకం కనిపించసాగింది .
3,ఆరు నెలలు గడిచాయి .
2,నేను ఇప్పుడు బాగా చదవగలను .
3,చాలా సంగతులు నాకు తెలిసాయి .
3,ఎవరి కన్నీళ్లు వాళ్లు మింగేవాళ్లం .
2,ఆడవాళ్లం ఒకచోట రోజూ చేరాం .
3,మా కష్టాలు ఒకరితోఒకరం చెప్పుకొన్నాం .
2,కలిసి మాట్లాడుకొన్నాము .
2,నామీద మండిపడేవాడు .
2,మాలాగా జిల్లాఅంతా లక్షలు ఆదిమంది చదువుకొన్నారట .
3,చదువుకొన్న వాళ్లలో ఆడవాళ్లే ఎక్కువ NULL .
3,చదువుకొన్న ఆడవాళ్లు చాలా ఊళ్లలో సారాయిఅంగళ్లు మూసివేయించారట .
3,కొన్ని చోట్ల మగవాళ్లకు సమానంగా కూలి సాధించకొన్నారట .
2,ఇవన్నీ మాకు సెంటర్లలో తెలిశాయి .
3,ఇప్పుడు మా ఊళ్లో జనచైతన్యకేంద్రాలు పెట్టారు .
4,వాటిలో ఎన్నో మంచి విషయాలు ఉన్నాయి .
3,వారంవాషం ఎన్నో సంగతులు చెబుతున్నారు .
2,పాటలు పాడిస్తున్నారు .
3,పాపం ఇందులో మా అమ్మ తప్పేముంది ?
3,పెద్దలచేత కొత్త విషయాలు చెప్పిస్తున్నారు .
2,మేము ఇప్పుడు పేపరుకూడా చదువుతున్నాం .
4,ఒక జిల్లాలో రాళ్లు కొట్టే ఆడవాళ్లు సొసైటీలు పెట్టుకొన్నారట .
3,ఒకరికింద పని చెయ్యడం మానుకొన్నారట .
3,ఇవన్నీ మేము పేపర్లో చదివి తెలుసుకొన్నాం .
3,ఈమధ్య మా ఊరికి కలెక్టరు వచ్చాడు .
3,ఆయనకు అందరం కలిసి అర్జీ పెట్టుకొన్నాం .
3,ఊరికి కొళాయిలు కావాలని అడిగాం .
4,ఆయన వీధికు ఒక బోరింగు వేయిస్తానని చెప్పాడు .
5,అంత పెద్ద అధికారిని చూడడం నాకు అదే మొదటిసారి
3,నా తప్పు ఏముంది ?
4,ఇప్పుడు ఏ అధికారి వచ్చినా మాకు కావలసినవి అడుగుతున్నాం .
4,ఏ అన్యాయం జరిగినా కలిసికట్టుగా ఎదిరిస్తున్నాం .
2,ఇప్పుడు నేను ఒంటరిదాన్ని కాదు .
4,లోకం తెలియని అమాయకురాలిని కాదు .
3,మా ఊళ్లో ఆడవాళ్లు ఎవ్వరూ ఒప్పుకోరు .
2,నాకు మూడుఏళ్ళు వచ్చాయి .
2,మరోసంగతి మీకు తెలుసా ?
3,మన దేశంలో మగవాళ్లకంటే జనాభాలో ఆడవాళ్లు తక్కువ NULL .
2,మగవాళ్లకంటే ఆడవాళ్లు ఎక్కువ మంది చనిపోతున్నారు .
2,అయిదేళ్లలోపు ఆడపిల్లలు మరీఎక్కువగా చనిపోతున్నారు .
3,బిడ్డల్ని కనేటప్పుడు ఎంతోమంది తల్లులు చనిపోతున్నారు .
2,ప్రపంచంలో ఎక్కడైనా ఇంతే అనుకోనేరు .
3,చాలా దేశాల్లో ఈ పరిస్థితి లేదు .
4,మన దేశంలోనూ కేరళలో ఇట్లా జరగడం లేదు .
4,అన్నింటా ముందున్న దేశాల్లోనూ ఇట్లా జరగడం లేదు .
3,మళ్ళీ మా అమ్మ పురుడు పోసుకొనింది .
3,అక్కడ జనాభాలో ఆడవాళ్లూ మగవాళ్లూ సమానం NULL .
2,మరి ఆడవాళ్లు ఎందుకు మాటిమాటికీ రోగాల పాలవుతున్నారు ?
2,ఆడవాళ్లు ఎందుకు ఎక్కువగా చనిపోతున్నారు ?
2,ఎందుకు అంటారు ?
4,ఆడవాళ్లకు పుష్టికరమైన తిండి దొరకడం తక్కువ NULL .
3,ఆడపిల్లలుకూడా అందరూ తినగా చివర తింటుంటారు .
2,అప్పుడప్పుడూ వాళ్లు ఆకలితోనే పడుకొంటారు .
3,అంతే కాదు ఆడవాళ్లకు చాకిరీ ఎక్కువ NULL .
4,ఇంకో కారణం ఆడవాళ్లు ఉండే చోట్లు ఆరోగ్యానికి మంచివి కావు .
2,ఈసారి నాకు తమ్ముడు పుట్టాడు .
2,మరోకారణం ఆరోగ్యంకోసం వాళ్లు జాగ్రత్తలు తీసుకోలేరు .
4,ఈ ప అంతా వదిలేసి ఆసుపత్రికి ఎపుడు వెళ్లేది ?
4,ఆడవాళ్ల జబ్బులు చూచేందుకు వసతులు లేకపోవడం NULL .
2,ఈమెను ఎలా పరీక్షించేది ?
2,వాళ్లు ఏమనుకొంటారు ?
3,అబ్బా ఈ ఆడళ్లతో ఇదే గొడవ NULL .
2,ఎవడు వేగుతారు ?
3,వైద్యాన్ని వ్యాపారం చేసేవాళ్లు తక్కువ ఏం కాదు .
3,కొడుకు పుట్టాడని మా నాయన సంబరపడిపోయాడు .
3,పుట్టగానే ఆడపిల్లను చంపేసేవాళ్లు ఉన్నారు .
3,విజయవాడలో మరో ఆడ శిశువు హత్య NULL .
4,తిరుపతిలో మురుగు కాల్వలో దొరికిన ఆడపిల్ల శవం గుడి మెట్లమీద అనాధ ఆడ శిశువు చెత్త కుప్పల్లో పసి పాప
3,కొంతమంది అధికార్లు అర్థం లేకుండా ఆలోచిస్తారు .
3,ఆపరేషన్లుతప్ప వాళ్లకు ఆడవాళ్ల ఆరోగ్యం పట్టదు .
4,ఇదిగో మీరంతా ఆరోగ్య కార్యకర్తల జీతాలు తింటున్నారు .
2,ఆడవాళ్లకు ఆపరేషన్లు చేయించాలి .
4,ఐతే ఈ కాన్పుతో మా అమ్మ చచ్చి బతికింది .
2,కనీసం నెలకు 30కేసులు పట్టుకొనిరావాలి .
2,కనేటప్పుడూ వైద్యం అవసరం NULL .
3,ఎక్కువ జాగ్రత్తలూ అవసరం NULL .
2,వైద్యం అవసరమయ్యేది ?
2,అంతటితో సుఖంగా కనేస్తుందా ?
2,ఆపరేషను చేసి బిడ్డను తీశారు .
3,తగినంత తీరిక ఉండాలి .
2,చదువు ఉండాలి .
4,గర్భవతి కావాలో ఆమె నిర్ణయించుకొనే వీలుండాలి .
3,అవసరం లేనపుడు కాకుండేందుకు మార్గం ఏదో ఆమెకు తెలిసిఉండాలి .
4,ఇవి అన్నీ ఉంటే గర్భవతి కావడం ఆమెకు ఓ పండుగ NULL .
5,దీనికితోడు అలాంటప్పుడు తగిన వైద్య సాయమూ లేకుంటే ఆమె ఏమవుతుంది NULL ?
3,ఐతే కడుపుతో ఉన్నవాళ్లకు ఇవి సోకితే ప్రమాదం NULL .
2,నేను అందరిలాంటి ఆడపిల్లనే NULL .
3,అందువల్ల కడుపుతో ఉన్నప్పుడు జాగ్రత్తలు అవసరం NULL .
3,లేనివాళ్లకు మరిన్ని జాగ్రత్తలు అవసరం NULL .
2,అప్పుడే వాళ్లు సుఖంగా కంటారు .
3,మంచి ఆహారం అందించాలి .
3,ఐరన్ మాత్రలు ఇవ్వాలి .
2,తీరిక ఉండాలి .
3,ఆరోగ్యకార్యకర్త తరచుగా వచ్చి పరీక్షలు చేస్తుండాలి .
5,ఏదోకొంత ఎక్కువ ఆహారం ఇస్తే సరిపోదు .
3,ఐరన్ మాత్రలతో అంతాఅన్నీ కుదుటపడవు .
3,రోగాల పుట్టగా మారింది .
3,ఆమె చదువుకోలేదు అనుకోండి .
5,ఇలాంటప్పుడు కొంచెం మంచి ఆహారం ఇస్తే ఎలా సరిపోతుంది ?
4,అసలు విషయం ఏమంటే మొదటినుంచి ఆడవాళ్లు ఆరోగ్యంగా పెరగాలి .
3,మన ఆరోగ్యం బతుకుల్ని అద్దం పడుతుంది .
3,గర్భంతో ఉన్నప్పుడు ఆమెకు ఇద్దరి ఆహారం అవసరం NULL .
3,ఆడవాళ్లకు మగవాళ్లతో సమానంగా పనిచేసే హక్కు ఉండాలి .
3,మా నాయన సంబరపడిపోతున్నాడు .
2,ఎలా అంటారా ?
2,అందుకే ఆడవాళ్లు చదువుకోవాలి .
4,సొంత కాళ్లమీద నిలబడ్డం తెలుసుకోవాలి .
5,ఒక కొత్త ప్రపంచం ఎలా ఏర్పడుతుందో తెలుసుకోవాలి .
2,వాళ్ళది కమలాపురం NULL .
3,వాళ్ళకు సొంత ఇల్లు ఉంది .
3,ఆ ఇంట్లో ఒక గది NULL .
2,ఎప్పుడూ తాళం వేసిఉంటుంది .
3,మా అమ్మ అదేపదివేలు అనుకొనింది .
3,తాళం చెవులు గంగులు మొలలోనే ఉంటాయి .
3,రోజూ ఒకసారి గంగులు ఆ గదిలోకి పోతాడు .
2,తలుపులు మూసుకుంటాడు .
2,గంటసేపు లోపలేలోపలే NULL .
3,తరవాత బయటకు వచ్చి తాళం వేసేవాడు .
2,నెలరోజులకు ఒకసారి గంగులు ఊరికిపోయేవాడు .
3,ఏదో సంచి తెచ్చేవాడు .
3,ఆ గదిలో దాచుకునేవాడు .
3,మా తమ్ముడు పెరిగేకొలది NULL .
3,ఒకసారి గంగులు ఇంటికి చుట్టాలు వచ్చారు .
5,ఆ గదిలో ఏమి ఉంది అని సీతాలును అడిగారు .
2,నాకు తెలియదు .
3,మా ఆయనకే తెలుసు .
2,వాళ్లు గంగులును అడిగారు .
3,ఆ గదిలో ఏమీ లేదు .
3,నా అవసరం పెరిగింది .
2,ఊరికే తాళం వేసిఉంచాను .
2,తరవాత చుట్టాలు వెళ్లిపోయారు .
3,ఇరుగుపొరుగువారికి ఈ సంగతి తెలిసింది .
3,ఆ గదిలో బీరువా ఉంది .
3,బీరువాలో చాలా డబ్బు ఉంది .
2,పనివారికికూడా అనుమానం ఉండేది .
2,తలుపుసందుల్లోనుంచి చూసేవారు .
2,వాళ్లకు ఏమీ కనిపించేదికాదు .
3,తలుపులకు చెవి ఆనించి వినేవారు .
2,ఏమీ వినిపించేది కాదు .
2,లోపల ఏదో ఉంది .
2,అని వాళ్లకు అనుమానం NULL .
2,సీతాలును అడిగేవారు .
2,సీతాలు ఏమీ చెప్పలేకపోయేది .
3,మొగుడి సంగతి పెళ్లానికి తెలియదా .
3,అది ఏంవింత అని అందరూ అనుకొనేవారు .
3,వాడి ఉయ్యాల ఊపాలి.
3,కొన్ని రోజులు గడిచాయి .
3,ఒకసారి ఊళ్లో చాలా మందికి రోగాలు సోకాయి .
2,కొందరు విరేచనాలతో బాధపడుతున్నారు .
2,కొందరికి జ్వరం NULL .
2,పశువులకు రోగాలు NULL .
2,ఒకరి గేదె చనిపోయింది .
2,ఇదంతా గంగులు చేసిందే .
2,గంగులుకు తెలుసు .
5,ఆ గదిలో అతను చేసే పని ఇదే NULL .
4,అందుకే ఇలా జరుగుతోంది అని అనుకునేవారు .
1,ఏమయింది .
3,మీ ఆయన చేతబడి చేశాడు .
5,ఆ గదిలో మీ ఆయన చేసే పని ఇదే NULL .
3,అందుకే ఊరి జనానికి రోగాలు సోకుతున్నాయి .
3,గంగులు పళ్లు ఊడగొట్టాలి .
4,బయటికి పిలుచుకురా అని అరిచారు .
3,ఆయన ఏ పాపం ఎరగడు .
3,ఆ గదిలోనే ఉన్నాడు .
2,ఒకసారి వాడు ఉయ్యాలనుంచి బయటికి తల వేలాడేశాడు .
2,ఆయనను కొట్టకండి .
2,అంటూ సీతాలు లోపలికి పొయింది .
3,జనం తలుపులు తోసుకుంటూ లోపలికిలోపలికి NULL .
3,నీ పళ్లు ఊడగొడతాం .
2,గంగులు ఉలకలేదు .
3,చిన్నతనంలో మా నాయన తిట్టేవాడు .
3,అయినా నేను ఈ అలవాటు మానలేదు .
2,గుక్కతిప్పుకోకుండా ఏడవసాగాడు .
4,నా కథ అందరి ఆడపిల్లల కధే NULL .
2,పిల్లల కంటపడకూడదు .
2,సీతాలుకు తెలియకూడదు .
3,అందుకే ఈ పని NULL .
3,గది తలుపులు మూసుకుంటాను .
2,అందరూ వింతగా చూశారు .
2,వారంవారం ఊరికి పోతాను .
3,లంక పొగాకు తెచ్చుకుంటాను .
3,ఈ గదిలో దాచుకుంటాను .
3,వాడిని పట్టుకోవడం నాచేత కాలేదు .
2,గదికి తాళం వేసుకుంటాను .
3,ఆ సంచిలో పొగాకు ఉంది .
2,అందరూ ఒకరిముఖంఒకరు చూసుకున్నారు .
3,ఈ రోజు నుంచీ నేను చుట్ట తాగను .
2,పొగాకు తాకను .
3,ఊరి జనం నవ్వుకుంటూ ఇళ్లకు పోయారు .
2,పగలు చుక్కలు ఎందుకు కనపడవు ?
3,మా అమ్మకు ఎక్కడలేని కోపం వచ్చింది .
2,పగలు మనకు సూర్యుడు కనపడతాడు .
3,చీకటి అయ్యాక చంద్రుడు కనబడతాడు .
2,చుక్కలు కనపడతాయి .
3,ఈ చుక్కలే నక్షత్రాలు NULL .
2,ఇవి పగలుకూడా ఉంటాయి .
2,ఇది భూమికి దగ్గరగా ఉంది .
2,కనుక వెలుతురు చాలా పడుతుంది .
2,నక్షత్రాలు దూరంగా ఉంటాయి .
2,నన్ను చావగొట్టింది .
3,సూర్యుడి వెలుతురులో అవి కనపడవు .
2,దిగిపోయాక అవి కనబడతాయి .
3,సూర్యుడు పగలు చాలా వెలుతురులో ఉంటాడు .
2,అందుకని చుక్కలు మనకు కనపడవు .
2,పగలు ఎలా ఏర్పడుతుంది ?
4,చుక్కలు సూర్యుడు భూమి అన్నీ గోళాలే NULL .
2,బంతిలా ఉంటాయి .
2,భూమి బొంగరంలా తిరుగుతుంది .
3,తన చుట్టూ తాను తిరుగుతుంది .
2,అప్పటికి నాకు ఆరేళ్ళుకూడా నిండలేదు .
3,ఈ భాగంమీద సూర్యకిరణాలు పడతాయి .
2,మనకు వెలుతురు వస్తుంది .
2,దీన్నే పగలు అంటున్నాం .
3,మిగిలిన భాగంలో సూర్యుని వెలుతురు పడదు .
2,ఇక్కడ వేడి ఉండదు .
2,చీకటి ఉంటుంది .
2,ఇదే రాత్రి NULL .
2,పగలు సూర్యకిరణాలు నెత్తిమీద పడతాయి .
2,ఇదే మధ్యాహ్నం NULL .
2,కిరణాలు ఏటవాలుగా పడతాయి .
2,అది నాకు బాగా గుర్తు NULL .
3,ఈ సమయంలో వేడి తక్కువ NULL .
3,ఉదయం సాయంకాలం ఇలా ఉంటుంది .
3,భూమిమీద ఎన్నో దేశాలు ఉన్నాయి .
3,వీటిలో కొన్నిటికి వేడి బాగా తాకుతుంది .
2,కొన్నిటికి వేడి సూటిగా తగలదు .
3,కొన్ని చలిదే శాలు ఉన్నాయి .
2,కాలాలు ఎలా ఏర్పడతాయి ?
2,మనకు రంగులరాట్నం తెలుసు .
2,పిల్లలు రాట్నంలో కూచుంటారు .
4,నా ఈడు ఆడపిల్లలు కొందరు బడికి పొయ్యేవాళ్లు .
2,వేగంగా తిరుగుతారు .
2,అయినా ఒకరికి ఒకరు తాకరు .
4,ఇలాగే అన్ని గ్రహాలు తిరుగుతూ ఉంటాయి .
2,భూమి నిలకడగా ఉండదు .
3,ఒక చోటనే ఉండదు .
3,అలాగే సూర్యుని చుట్టూ తిరుగుతుంది .
3,ఇలా తిరిగడానికి 365 రోజులు పడతాయి .
3,ఇలా తిరగడాన్నే ఒక సంవత్సరం అంటున్నాం .
3,నేనూ బడికి పోతానని ఏడ్చాను .
3,ఇలా భూమి తిరగడంలో రాత్రి ఏర్పడుతుంది .
3,సంవత్సరంలో కొంత కాలం చల్లగా ఉంటుంది .
2,వీటినే మనం కాలాలు అంటున్నాం .
3,భూమి తిరగడంతోనే ఈ కాలాలు ఏర్పడుతున్నాయి .
3,పున్నమి అమావాస్యలు ఎలా ఏర్పడుతాయి ?
3,కొన్ని రోజులు చంద్రుడు సగమే కనపడతాడు .
3,కొన్ని రోజులు పావుభాగం కనపడతాడు .
3,కొన్ని రోజులు నిండుగా కనపడుతాడు .
2,ఇలా ఎందుకు జరుగుతుంది .
3,అని మా నాయన కసురుకొన్నాడు .
3,అసలే కనిపించకుండా ఎందుకు ఉంటాడు .
3,సూర్యుని వెలుతురు చంద్రునిమీద పడుతుంది .
2,అందుకే చంద్రుడు రాత్రివేళ వెలుగుతాడు .
2,చీకటిలో కూడా వెలుగుతాడు .
3,మనం ఒక కుండను తీసుకుంటే .
4,దాన్ని దీపం దగ్గర పెడితే ఎలా కనిపిస్తుంది .
3,పక్కనుండి చూస్తే కుండ సగం వెలుతురులో ఉంటుంది .
5,దీపం వైపు నిలబడి చూస్తే కుండంతా వెలుతురులో కనపడుతుంది .
3,చంద్రుని విషయం ఇంతే NULL .
3,పైగా మా ఇంటిలో అందరూ పొలం పోవాలి .
3,చంద్రుడు భూమి చుట్టూ తిరుగుతాడు .
3,ఇలా తిరగడానికి నెలరోజులు పడుతుంది .
3,ఒకసారి చంద్రుడి సగభాగంలో సూర్యుని వెలుతురు పడుతుంది .
3,అప్పుడు చంద్రుడు సగం వెలుగుతూ కనపడతాడు .
2,మిగతాభాగం చీకటిగా ఉంటుంది .
3,ఒకసారి పూర్తిభాగంలో సూర్యుని వెలుతురు పడుతుంది .
3,దాంతో చంద్రుడు పూర్తిగా వెలుగుతూ కనపడతాడు .
4,ఇలా కనపడే రోజునే పున్నమి అంటాం .
3,ఒకసారి సూర్యుని వెలుతురు దూరం పోతుంది .
2,చంద్రునిమీద అసలే పడదు .
2,పని చేయాలి .
3,నా కథ చెబుతాను వినండి .
3,చంద్రుడు వెలుగుతూ కనపడడు .
2,దీన్నే అమవాస్య అంటాం .
4,సూర్యుడు ఒక పెద్ద గ్రహం
3,దీని చుట్టూ తొమ్మిది గ్రహాలు ఉన్నాయి .
2,ఇవి తిరుగుతున్నాయి .
2,అందుకే ఇక్కడ మనం ఉండగల్గుతున్నాం .
3,గ్రహాల చుట్టూ చిన్న గ్రహాలు ఉంటాయి .
2,మనుషులుకూడా ఉపగ్రహాలను తయారుచేశారు .
4,మా పొలంలో పని లేనపుడు కూలికి పోవాలి .
4,వానలు ఎప్పుడు పడతాయో చెబుతాయి .
2,అందుకే పేపరులో రాస్తారు .
2,రేడియోలో చెబుతారు .
2,గ్రాహాలను దగ్గరగా చూడాలంటే ?
2,ఆకాశంలో మబ్బులు కనపడతాయి .
2,నేలపైన గాలి ఉంది .
2,దుమ్ము కనపడుతుంది .
4,ఇంకా పైకి పోతే గాలి ఉండదు .
3,అక్కడ ఎటు తిరిగినా ఏమీ తెలియలేదు .
3,మరిఅప్పుడు మా తమ్ముడిని ఎవరు చూస్తారు ?
2,ఆకాశంలో చుక్కలు కనపడతాయి .
2,గ్రహాలు కనపడాతాయి .
2,వీటిని దగ్గరగా చూడాలి .
2,అక్కడికి పోలేం .
2,అందుకే నేలమీదనుంచే చూడాలి .
3,మామూలు కంటితో చూడలేం .
4,అందుకే వీటిని చూసేందుకు దారి దొరికింది .
3,ఒక పరికరం కనిపెట్టారు .
2,దీంతో దూరానివి దగ్గరగా కనపడతాయి .
2,చిన్నవి పెద్దవిగా కనపడతాయి .
2,అందుకని నన్ను బడికి పంపలేదు .
2,చంద్రునిమీద మనం ఉండవచ్చా ?
2,చంద్రుడు చల్లగా ఉంటాడు .
3,ఇక్కడ గాలి నీరు లేవట .
3,అక్కడ ఏ జీవాలు లేవట .
4,అక్కడికి పోతే మనం తేలికగా ఉంటామట .
4,మనం నేలమీద 60కిలోల బరువు ఉంటే చంద్రునిమీద 6 కిలోలే ఉంటామట .
